len(selected_patterns):1; curr precision: 0.9958; curr recall: 0.0108; curr f1: 0.0214; curr tp: 1178; curr fp: 5; curr fn: 107973; curr tn: 1563173; precision of pattern: 0.9963; tp, abs. recall of pattern: 1178; pattern: _OTOKEN_perfect; pattern type: l0
len(selected_patterns):24; curr precision: 0.9883; curr recall: 0.0505; curr f1: 0.0961; curr tp: 5510; curr fp: 65; curr fn: 103641; curr tn: 1563113; precision of pattern: 1.0; tp, abs. recall of pattern: 76; pattern: _OTOKEN_weak; pattern type: l0
len(selected_patterns):25; curr precision: 0.9885; curr recall: 0.0512; curr f1: 0.0973; curr tp: 5585; curr fp: 65; curr fn: 103566; curr tn: 1563113; precision of pattern: 1.0; tp, abs. recall of pattern: 75; pattern: _OTOKEN_unusable; pattern type: l0
len(selected_patterns):26; curr precision: 0.9885; curr recall: 0.0518; curr f1: 0.0985; curr tp: 5659; curr fp: 66; curr fn: 103492; curr tn: 1563112; precision of pattern: 1.0; tp, abs. recall of pattern: 74; pattern: _OTOKEN_accurate; pattern type: l0
len(selected_patterns):27; curr precision: 0.9884; curr recall: 0.0525; curr f1: 0.0997; curr tp: 5732; curr fp: 67; curr fn: 103419; curr tn: 1563111; precision of pattern: 1.0; tp, abs. recall of pattern: 73; pattern: _OTOKEN_ideal; pattern type: l0
len(selected_patterns):28; curr precision: 0.9883; curr recall: 0.0532; curr f1: 0.1009; curr tp: 5804; curr fp: 69; curr fn: 103347; curr tn: 1563109; precision of pattern: 1.0; tp, abs. recall of pattern: 72; pattern: _OTOKEN_attractive; pattern type: l0
len(selected_patterns):29; curr precision: 0.9881; curr recall: 0.0538; curr f1: 0.1021; curr tp: 5874; curr fp: 71; curr fn: 103277; curr tn: 1563107; precision of pattern: 1.0; tp, abs. recall of pattern: 70; pattern: _OTOKEN_excelent; pattern type: l0
len(selected_patterns):30; curr precision: 0.988; curr recall: 0.0544; curr f1: 0.1032; curr tp: 5943; curr fp: 72; curr fn: 103208; curr tn: 1563106; precision of pattern: 1.0; tp, abs. recall of pattern: 69; pattern: _OTOKEN_gorgeous; pattern type: l0
len(selected_patterns):31; curr precision: 0.9878; curr recall: 0.0551; curr f1: 0.1043; curr tp: 6011; curr fp: 74; curr fn: 103140; curr tn: 1563104; precision of pattern: 1.0; tp, abs. recall of pattern: 68; pattern: _OTOKEN_superb; pattern type: l0
len(selected_patterns):32; curr precision: 0.9872; curr recall: 0.0557; curr f1: 0.1054; curr tp: 6078; curr fp: 79; curr fn: 103073; curr tn: 1563099; precision of pattern: 1.0; tp, abs. recall of pattern: 67; pattern: _OTOKEN_noisy; pattern type: l0
len(selected_patterns):33; curr precision: 0.987; curr recall: 0.0563; curr f1: 0.1065; curr tp: 6143; curr fp: 81; curr fn: 103008; curr tn: 1563097; precision of pattern: 1.0; tp, abs. recall of pattern: 65; pattern: _OTOKEN_beautifully; pattern type: l0
len(selected_patterns):34; curr precision: 0.9871; curr recall: 0.0568; curr f1: 0.1075; curr tp: 6202; curr fp: 81; curr fn: 102949; curr tn: 1563097; precision of pattern: 1.0; tp, abs. recall of pattern: 59; pattern: _OTOKEN_brilliant; pattern type: l0
len(selected_patterns):35; curr precision: 0.9863; curr recall: 0.0574; curr f1: 0.1084; curr tp: 6261; curr fp: 87; curr fn: 102890; curr tn: 1563091; precision of pattern: 1.0; tp, abs. recall of pattern: 59; pattern: _OTOKEN_amazed; pattern type: l0
len(selected_patterns):36; curr precision: 0.9864; curr recall: 0.0579; curr f1: 0.1093; curr tp: 6318; curr fp: 87; curr fn: 102833; curr tn: 1563091; precision of pattern: 1.0; tp, abs. recall of pattern: 57; pattern: _OTOKEN_poorly; pattern type: l0
len(selected_patterns):37; curr precision: 0.9864; curr recall: 0.0584; curr f1: 0.1102; curr tp: 6373; curr fp: 88; curr fn: 102778; curr tn: 1563090; precision of pattern: 1.0; tp, abs. recall of pattern: 55; pattern: _OTOKEN_sufficient; pattern type: l0
len(selected_patterns):38; curr precision: 0.9865; curr recall: 0.0589; curr f1: 0.1111; curr tp: 6428; curr fp: 88; curr fn: 102723; curr tn: 1563090; precision of pattern: 1.0; tp, abs. recall of pattern: 55; pattern: _OTOKEN_sluggish; pattern type: l0
len(selected_patterns):39; curr precision: 0.9865; curr recall: 0.0594; curr f1: 0.112; curr tp: 6482; curr fp: 89; curr fn: 102669; curr tn: 1563089; precision of pattern: 1.0; tp, abs. recall of pattern: 54; pattern: _OTOKEN_snappy; pattern type: l0
len(selected_patterns):40; curr precision: 0.9857; curr recall: 0.0599; curr f1: 0.1129; curr tp: 6534; curr fp: 95; curr fn: 102617; curr tn: 1563083; precision of pattern: 1.0; tp, abs. recall of pattern: 52; pattern: _OTOKEN_ridiculous; pattern type: l0
len(selected_patterns):41; curr precision: 0.9856; curr recall: 0.0603; curr f1: 0.1137; curr tp: 6586; curr fp: 96; curr fn: 102565; curr tn: 1563082; precision of pattern: 1.0; tp, abs. recall of pattern: 52; pattern: _OTOKEN_uncomfortable; pattern type: l0
len(selected_patterns):42; curr precision: 0.9854; curr recall: 0.0608; curr f1: 0.1145; curr tp: 6637; curr fp: 98; curr fn: 102514; curr tn: 1563080; precision of pattern: 1.0; tp, abs. recall of pattern: 51; pattern: _OTOKEN_exceeded; pattern type: l0
len(selected_patterns):43; curr precision: 0.9843; curr recall: 0.0613; curr f1: 0.1153; curr tp: 6687; curr fp: 107; curr fn: 102464; curr tn: 1563071; precision of pattern: 1.0; tp, abs. recall of pattern: 50; pattern: _OTOKEN_difficulty; pattern type: l0
len(selected_patterns):44; curr precision: 0.9841; curr recall: 0.0617; curr f1: 0.1161; curr tp: 6736; curr fp: 109; curr fn: 102415; curr tn: 1563069; precision of pattern: 1.0; tp, abs. recall of pattern: 49; pattern: _OTOKEN_unresponsive; pattern type: l0
len(selected_patterns):45; curr precision: 0.9842; curr recall: 0.0622; curr f1: 0.1169; curr tp: 6785; curr fp: 109; curr fn: 102366; curr tn: 1563069; precision of pattern: 1.0; tp, abs. recall of pattern: 49; pattern: _OTOKEN_awkward; pattern type: l0
len(selected_patterns):46; curr precision: 0.9842; curr recall: 0.0626; curr f1: 0.1177; curr tp: 6834; curr fp: 110; curr fn: 102317; curr tn: 1563068; precision of pattern: 1.0; tp, abs. recall of pattern: 49; pattern: _OTOKEN_cheaply; pattern type: l0
len(selected_patterns):47; curr precision: 0.9838; curr recall: 0.0631; curr f1: 0.1185; curr tp: 6882; curr fp: 113; curr fn: 102269; curr tn: 1563065; precision of pattern: 1.0; tp, abs. recall of pattern: 48; pattern: _OTOKEN_stylish; pattern type: l0
len(selected_patterns):48; curr precision: 0.984; curr recall: 0.0635; curr f1: 0.1193; curr tp: 6928; curr fp: 113; curr fn: 102223; curr tn: 1563065; precision of pattern: 1.0; tp, abs. recall of pattern: 46; pattern: _OTOKEN_unacceptable; pattern type: l0
len(selected_patterns):49; curr precision: 0.9834; curr recall: 0.0639; curr f1: 0.12; curr tp: 6974; curr fp: 118; curr fn: 102177; curr tn: 1563060; precision of pattern: 1.0; tp, abs. recall of pattern: 46; pattern: _OTOKEN_worthless; pattern type: l0
len(selected_patterns):50; curr precision: 0.9831; curr recall: 0.0643; curr f1: 0.1207; curr tp: 7020; curr fp: 121; curr fn: 102131; curr tn: 1563057; precision of pattern: 1.0; tp, abs. recall of pattern: 46; pattern: _OTOKEN_cracked; pattern type: l0
len(selected_patterns):51; curr precision: 0.9821; curr recall: 0.0647; curr f1: 0.1214; curr tp: 7065; curr fp: 129; curr fn: 102086; curr tn: 1563049; precision of pattern: 1.0; tp, abs. recall of pattern: 45; pattern: _OTOKEN_unnecessary; pattern type: l0
len(selected_patterns):52; curr precision: 0.9812; curr recall: 0.0651; curr f1: 0.1222; curr tp: 7110; curr fp: 136; curr fn: 102041; curr tn: 1563042; precision of pattern: 1.0; tp, abs. recall of pattern: 45; pattern: _OTOKEN_strange; pattern type: l0
len(selected_patterns):53; curr precision: 0.9812; curr recall: 0.0655; curr f1: 0.1229; curr tp: 7154; curr fp: 137; curr fn: 101997; curr tn: 1563041; precision of pattern: 1.0; tp, abs. recall of pattern: 44; pattern: _OTOKEN_increased; pattern type: l0
len(selected_patterns):54; curr precision: 0.9804; curr recall: 0.0659; curr f1: 0.1236; curr tp: 7198; curr fp: 144; curr fn: 101953; curr tn: 1563034; precision of pattern: 1.0; tp, abs. recall of pattern: 44; pattern: _OTOKEN_ugly; pattern type: l0
len(selected_patterns):55; curr precision: 0.9805; curr recall: 0.0663; curr f1: 0.1243; curr tp: 7241; curr fp: 144; curr fn: 101910; curr tn: 1563034; precision of pattern: 1.0; tp, abs. recall of pattern: 43; pattern: _OTOKEN_exceptional; pattern type: l0
len(selected_patterns):56; curr precision: 0.9805; curr recall: 0.0667; curr f1: 0.1249; curr tp: 7283; curr fp: 145; curr fn: 101868; curr tn: 1563033; precision of pattern: 1.0; tp, abs. recall of pattern: 42; pattern: _OTOKEN_terrific; pattern type: l0
len(selected_patterns):57; curr precision: 0.9806; curr recall: 0.0671; curr f1: 0.1256; curr tp: 7325; curr fp: 145; curr fn: 101826; curr tn: 1563033; precision of pattern: 1.0; tp, abs. recall of pattern: 42; pattern: _OTOKEN_nicer; pattern type: l0
len(selected_patterns):58; curr precision: 0.9806; curr recall: 0.0675; curr f1: 0.1263; curr tp: 7366; curr fp: 146; curr fn: 101785; curr tn: 1563032; precision of pattern: 1.0; tp, abs. recall of pattern: 41; pattern: _OTOKEN_slick; pattern type: l0
len(selected_patterns):59; curr precision: 0.9807; curr recall: 0.0679; curr f1: 0.1269; curr tp: 7406; curr fp: 146; curr fn: 101745; curr tn: 1563032; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: _OTOKEN_robust; pattern type: l0
len(selected_patterns):60; curr precision: 0.9802; curr recall: 0.0682; curr f1: 0.1275; curr tp: 7444; curr fp: 150; curr fn: 101707; curr tn: 1563028; precision of pattern: 1.0; tp, abs. recall of pattern: 38; pattern: _OTOKEN_versatile; pattern type: l0
len(selected_patterns):61; curr precision: 0.9803; curr recall: 0.0685; curr f1: 0.1281; curr tp: 7481; curr fp: 150; curr fn: 101670; curr tn: 1563028; precision of pattern: 1.0; tp, abs. recall of pattern: 37; pattern: _OTOKEN_vibrant; pattern type: l0
len(selected_patterns):62; curr precision: 0.9804; curr recall: 0.0689; curr f1: 0.1287; curr tp: 7518; curr fp: 150; curr fn: 101633; curr tn: 1563028; precision of pattern: 1.0; tp, abs. recall of pattern: 37; pattern: _OTOKEN_stunning; pattern type: l0
len(selected_patterns):63; curr precision: 0.9805; curr recall: 0.0692; curr f1: 0.1293; curr tp: 7554; curr fp: 150; curr fn: 101597; curr tn: 1563028; precision of pattern: 1.0; tp, abs. recall of pattern: 36; pattern: _OTOKEN_inconvenient; pattern type: l0
len(selected_patterns):64; curr precision: 0.9806; curr recall: 0.0695; curr f1: 0.1298; curr tp: 7589; curr fp: 150; curr fn: 101562; curr tn: 1563028; precision of pattern: 1.0; tp, abs. recall of pattern: 35; pattern: _OTOKEN_quicker; pattern type: l0
len(selected_patterns):65; curr precision: 0.9788; curr recall: 0.0698; curr f1: 0.1304; curr tp: 7624; curr fp: 165; curr fn: 101527; curr tn: 1563013; precision of pattern: 1.0; tp, abs. recall of pattern: 35; pattern: _OTOKEN_practical; pattern type: l0
len(selected_patterns):66; curr precision: 0.9785; curr recall: 0.0702; curr f1: 0.1309; curr tp: 7659; curr fp: 168; curr fn: 101492; curr tn: 1563010; precision of pattern: 1.0; tp, abs. recall of pattern: 35; pattern: _OTOKEN_louder; pattern type: l0
len(selected_patterns):67; curr precision: 0.9781; curr recall: 0.0705; curr f1: 0.1315; curr tp: 7693; curr fp: 172; curr fn: 101458; curr tn: 1563006; precision of pattern: 1.0; tp, abs. recall of pattern: 34; pattern: _OTOKEN_fabulous; pattern type: l0
len(selected_patterns):68; curr precision: 0.9782; curr recall: 0.0708; curr f1: 0.132; curr tp: 7726; curr fp: 172; curr fn: 101425; curr tn: 1563006; precision of pattern: 1.0; tp, abs. recall of pattern: 33; pattern: _OTOKEN_seamless; pattern type: l0
len(selected_patterns):69; curr precision: 0.9783; curr recall: 0.0711; curr f1: 0.1325; curr tp: 7759; curr fp: 172; curr fn: 101392; curr tn: 1563006; precision of pattern: 1.0; tp, abs. recall of pattern: 33; pattern: _OTOKEN_confusing; pattern type: l0
len(selected_patterns):70; curr precision: 0.978; curr recall: 0.0714; curr f1: 0.1331; curr tp: 7792; curr fp: 175; curr fn: 101359; curr tn: 1563003; precision of pattern: 1.0; tp, abs. recall of pattern: 33; pattern: _OTOKEN_interesting; pattern type: l0
len(selected_patterns):71; curr precision: 0.9779; curr recall: 0.0717; curr f1: 0.1336; curr tp: 7824; curr fp: 177; curr fn: 101327; curr tn: 1563001; precision of pattern: 1.0; tp, abs. recall of pattern: 32; pattern: _OTOKEN_effective; pattern type: l0
len(selected_patterns):72; curr precision: 0.978; curr recall: 0.072; curr f1: 0.1341; curr tp: 7855; curr fp: 177; curr fn: 101296; curr tn: 1563001; precision of pattern: 1.0; tp, abs. recall of pattern: 31; pattern: _OTOKEN_solidly; pattern type: l0
len(selected_patterns):73; curr precision: 0.9777; curr recall: 0.0722; curr f1: 0.1345; curr tp: 7885; curr fp: 180; curr fn: 101266; curr tn: 1562998; precision of pattern: 1.0; tp, abs. recall of pattern: 30; pattern: _OTOKEN_surprising; pattern type: l0
len(selected_patterns):74; curr precision: 0.9769; curr recall: 0.0725; curr f1: 0.135; curr tp: 7915; curr fp: 187; curr fn: 101236; curr tn: 1562991; precision of pattern: 1.0; tp, abs. recall of pattern: 30; pattern: _OTOKEN_notch; pattern type: l0
len(selected_patterns):75; curr precision: 0.977; curr recall: 0.0728; curr f1: 0.1355; curr tp: 7943; curr fp: 187; curr fn: 101208; curr tn: 1562991; precision of pattern: 1.0; tp, abs. recall of pattern: 28; pattern: _OTOKEN_inferior; pattern type: l0
len(selected_patterns):76; curr precision: 0.9771; curr recall: 0.073; curr f1: 0.1359; curr tp: 7971; curr fp: 187; curr fn: 101180; curr tn: 1562991; precision of pattern: 1.0; tp, abs. recall of pattern: 28; pattern: _OTOKEN_slowest; pattern type: l0
len(selected_patterns):77; curr precision: 0.9772; curr recall: 0.0733; curr f1: 0.1363; curr tp: 7999; curr fp: 187; curr fn: 101152; curr tn: 1562991; precision of pattern: 1.0; tp, abs. recall of pattern: 28; pattern: _OTOKEN_smoother; pattern type: l0
len(selected_patterns):78; curr precision: 0.9772; curr recall: 0.0735; curr f1: 0.1368; curr tp: 8026; curr fp: 187; curr fn: 101125; curr tn: 1562991; precision of pattern: 1.0; tp, abs. recall of pattern: 27; pattern: _OTOKEN_pleasing; pattern type: l0
len(selected_patterns):79; curr precision: 0.9764; curr recall: 0.0738; curr f1: 0.1372; curr tp: 8053; curr fp: 195; curr fn: 101098; curr tn: 1562983; precision of pattern: 1.0; tp, abs. recall of pattern: 27; pattern: _OTOKEN_alright; pattern type: l0
len(selected_patterns):80; curr precision: 0.9763; curr recall: 0.074; curr f1: 0.1376; curr tp: 8080; curr fp: 196; curr fn: 101071; curr tn: 1562982; precision of pattern: 1.0; tp, abs. recall of pattern: 27; pattern: _OTOKEN_appealing; pattern type: l0
len(selected_patterns):81; curr precision: 0.9764; curr recall: 0.0743; curr f1: 0.138; curr tp: 8106; curr fp: 196; curr fn: 101045; curr tn: 1562982; precision of pattern: 1.0; tp, abs. recall of pattern: 26; pattern: _OTOKEN_phenomenal; pattern type: l0
len(selected_patterns):82; curr precision: 0.9763; curr recall: 0.0745; curr f1: 0.1384; curr tp: 8132; curr fp: 197; curr fn: 101019; curr tn: 1562981; precision of pattern: 1.0; tp, abs. recall of pattern: 26; pattern: _OTOKEN_irritating; pattern type: l0
len(selected_patterns):83; curr precision: 0.9764; curr recall: 0.0747; curr f1: 0.1388; curr tp: 8157; curr fp: 197; curr fn: 100994; curr tn: 1562981; precision of pattern: 1.0; tp, abs. recall of pattern: 25; pattern: _OTOKEN_unbelievable; pattern type: l0
len(selected_patterns):84; curr precision: 0.9759; curr recall: 0.075; curr f1: 0.1392; curr tp: 8182; curr fp: 202; curr fn: 100969; curr tn: 1562976; precision of pattern: 1.0; tp, abs. recall of pattern: 25; pattern: _OTOKEN_lovely; pattern type: l0
len(selected_patterns):85; curr precision: 0.9759; curr recall: 0.0752; curr f1: 0.1396; curr tp: 8207; curr fp: 203; curr fn: 100944; curr tn: 1562975; precision of pattern: 1.0; tp, abs. recall of pattern: 25; pattern: _OTOKEN_vivid; pattern type: l0
len(selected_patterns):86; curr precision: 0.9757; curr recall: 0.0754; curr f1: 0.14; curr tp: 8231; curr fp: 205; curr fn: 100920; curr tn: 1562973; precision of pattern: 1.0; tp, abs. recall of pattern: 24; pattern: _OTOKEN_winner; pattern type: l0
len(selected_patterns):87; curr precision: 0.9752; curr recall: 0.0756; curr f1: 0.1404; curr tp: 8255; curr fp: 210; curr fn: 100896; curr tn: 1562968; precision of pattern: 1.0; tp, abs. recall of pattern: 24; pattern: _OTOKEN_identical; pattern type: l0
len(selected_patterns):88; curr precision: 0.9753; curr recall: 0.0758; curr f1: 0.1408; curr tp: 8279; curr fp: 210; curr fn: 100872; curr tn: 1562968; precision of pattern: 1.0; tp, abs. recall of pattern: 24; pattern: _OTOKEN_enjoyable; pattern type: l0
len(selected_patterns):89; curr precision: 0.9753; curr recall: 0.0761; curr f1: 0.1411; curr tp: 8302; curr fp: 210; curr fn: 100849; curr tn: 1562968; precision of pattern: 1.0; tp, abs. recall of pattern: 23; pattern: _OTOKEN_cheapest; pattern type: l0
len(selected_patterns):90; curr precision: 0.9747; curr recall: 0.0763; curr f1: 0.1415; curr tp: 8324; curr fp: 216; curr fn: 100827; curr tn: 1562962; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: _OTOKEN_reduce; pattern type: l0
len(selected_patterns):91; curr precision: 0.9747; curr recall: 0.0765; curr f1: 0.1418; curr tp: 8346; curr fp: 217; curr fn: 100805; curr tn: 1562961; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: _OTOKEN_limiting; pattern type: l0
len(selected_patterns):92; curr precision: 0.9742; curr recall: 0.0767; curr f1: 0.1421; curr tp: 8368; curr fp: 222; curr fn: 100783; curr tn: 1562956; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: _OTOKEN_silly; pattern type: l0
len(selected_patterns):93; curr precision: 0.9742; curr recall: 0.0769; curr f1: 0.1425; curr tp: 8390; curr fp: 222; curr fn: 100761; curr tn: 1562956; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: _OTOKEN_sharper; pattern type: l0
len(selected_patterns):94; curr precision: 0.9741; curr recall: 0.0771; curr f1: 0.1428; curr tp: 8412; curr fp: 224; curr fn: 100739; curr tn: 1562954; precision of pattern: 1.0; tp, abs. recall of pattern: 22; pattern: _OTOKEN_unfortunate; pattern type: l0
len(selected_patterns):95; curr precision: 0.9738; curr recall: 0.0773; curr f1: 0.1432; curr tp: 8433; curr fp: 227; curr fn: 100718; curr tn: 1562951; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _OTOKEN_shorter; pattern type: l0
len(selected_patterns):96; curr precision: 0.9739; curr recall: 0.0775; curr f1: 0.1435; curr tp: 8454; curr fp: 227; curr fn: 100697; curr tn: 1562951; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _OTOKEN_unreliable; pattern type: l0
len(selected_patterns):97; curr precision: 0.9738; curr recall: 0.0776; curr f1: 0.1438; curr tp: 8475; curr fp: 228; curr fn: 100676; curr tn: 1562950; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _OTOKEN_stellar; pattern type: l0
len(selected_patterns):98; curr precision: 0.9738; curr recall: 0.0778; curr f1: 0.1442; curr tp: 8496; curr fp: 229; curr fn: 100655; curr tn: 1562949; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _OTOKEN_choppy; pattern type: l0
len(selected_patterns):99; curr precision: 0.9737; curr recall: 0.078; curr f1: 0.1445; curr tp: 8517; curr fp: 230; curr fn: 100634; curr tn: 1562948; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _OTOKEN_appreciated; pattern type: l0
len(selected_patterns):100; curr precision: 0.9737; curr recall: 0.0782; curr f1: 0.1448; curr tp: 8538; curr fp: 231; curr fn: 100613; curr tn: 1562947; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _OTOKEN_problematic; pattern type: l0
len(selected_patterns):101; curr precision: 0.9737; curr recall: 0.0784; curr f1: 0.1451; curr tp: 8559; curr fp: 231; curr fn: 100592; curr tn: 1562947; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _OTOKEN_stronger; pattern type: l0
len(selected_patterns):102; curr precision: 0.9738; curr recall: 0.0786; curr f1: 0.1455; curr tp: 8580; curr fp: 231; curr fn: 100571; curr tn: 1562947; precision of pattern: 1.0; tp, abs. recall of pattern: 21; pattern: _OTOKEN_tricky; pattern type: l0
len(selected_patterns):103; curr precision: 0.9735; curr recall: 0.0788; curr f1: 0.1458; curr tp: 8600; curr fp: 234; curr fn: 100551; curr tn: 1562944; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: _OTOKEN_replaceable; pattern type: l0
len(selected_patterns):104; curr precision: 0.9735; curr recall: 0.079; curr f1: 0.1461; curr tp: 8620; curr fp: 235; curr fn: 100531; curr tn: 1562943; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: _OTOKEN_remarkable; pattern type: l0
len(selected_patterns):105; curr precision: 0.9734; curr recall: 0.0792; curr f1: 0.1464; curr tp: 8640; curr fp: 236; curr fn: 100511; curr tn: 1562942; precision of pattern: 1.0; tp, abs. recall of pattern: 20; pattern: _OTOKEN_awsome; pattern type: l0
