len(selected_patterns):1; curr precision: 1.0; curr recall: 0.0195; curr f1: 0.0383; curr tp: 2387; curr fp: 0; curr fn: 119860; curr tn: 1385277; precision of pattern: 1.0; tp, abs. recall of pattern: 2387; pattern: _OTOKEN_delicious; pattern type: l0
len(selected_patterns):21; curr precision: 0.9954; curr recall: 0.093; curr f1: 0.1701; curr tp: 11371; curr fp: 53; curr fn: 110876; curr tn: 1385224; precision of pattern: 1.0; tp, abs. recall of pattern: 178; pattern: _OTOKEN_awful; pattern type: l0
len(selected_patterns):22; curr precision: 0.9953; curr recall: 0.0944; curr f1: 0.1725; curr tp: 11544; curr fp: 55; curr fn: 110703; curr tn: 1385222; precision of pattern: 1.0; tp, abs. recall of pattern: 173; pattern: _OTOKEN_overpriced; pattern type: l0
len(selected_patterns):23; curr precision: 0.9923; curr recall: 0.0955; curr f1: 0.1742; curr tp: 11675; curr fp: 91; curr fn: 110572; curr tn: 1385186; precision of pattern: 1.0; tp, abs. recall of pattern: 131; pattern: _OTOKEN_thick; pattern type: l0
len(selected_patterns):24; curr precision: 0.9923; curr recall: 0.0966; curr f1: 0.176; curr tp: 11804; curr fp: 92; curr fn: 110443; curr tn: 1385185; precision of pattern: 1.0; tp, abs. recall of pattern: 129; pattern: _OTOKEN_reasonably; pattern type: l0
len(selected_patterns):25; curr precision: 0.9923; curr recall: 0.0975; curr f1: 0.1776; curr tp: 11923; curr fp: 93; curr fn: 110324; curr tn: 1385184; precision of pattern: 1.0; tp, abs. recall of pattern: 119; pattern: _OTOKEN_affordable; pattern type: l0
len(selected_patterns):26; curr precision: 0.9923; curr recall: 0.0985; curr f1: 0.1792; curr tp: 12037; curr fp: 94; curr fn: 110210; curr tn: 1385183; precision of pattern: 1.0; tp, abs. recall of pattern: 114; pattern: _OTOKEN_delish; pattern type: l0
len(selected_patterns):27; curr precision: 0.9922; curr recall: 0.0994; curr f1: 0.1807; curr tp: 12149; curr fp: 95; curr fn: 110098; curr tn: 1385182; precision of pattern: 1.0; tp, abs. recall of pattern: 112; pattern: _OTOKEN_chewy; pattern type: l0
len(selected_patterns):28; curr precision: 0.9921; curr recall: 0.1002; curr f1: 0.1821; curr tp: 12254; curr fp: 98; curr fn: 109993; curr tn: 1385179; precision of pattern: 1.0; tp, abs. recall of pattern: 105; pattern: _OTOKEN_exceptional; pattern type: l0
len(selected_patterns):29; curr precision: 0.992; curr recall: 0.1011; curr f1: 0.1835; curr tp: 12359; curr fp: 100; curr fn: 109888; curr tn: 1385177; precision of pattern: 1.0; tp, abs. recall of pattern: 105; pattern: _OTOKEN_lacking; pattern type: l0
len(selected_patterns):30; curr precision: 0.9919; curr recall: 0.1019; curr f1: 0.1849; curr tp: 12462; curr fp: 102; curr fn: 109785; curr tn: 1385175; precision of pattern: 1.0; tp, abs. recall of pattern: 103; pattern: _OTOKEN_refreshing; pattern type: l0
len(selected_patterns):31; curr precision: 0.9916; curr recall: 0.1027; curr f1: 0.1862; curr tp: 12558; curr fp: 106; curr fn: 109689; curr tn: 1385171; precision of pattern: 1.0; tp, abs. recall of pattern: 96; pattern: _OTOKEN_gross; pattern type: l0
len(selected_patterns):32; curr precision: 0.9915; curr recall: 0.1035; curr f1: 0.1874; curr tp: 12652; curr fp: 108; curr fn: 109595; curr tn: 1385169; precision of pattern: 1.0; tp, abs. recall of pattern: 94; pattern: _OTOKEN_creative; pattern type: l0
len(selected_patterns):33; curr precision: 0.9909; curr recall: 0.1043; curr f1: 0.1887; curr tp: 12746; curr fp: 117; curr fn: 109501; curr tn: 1385160; precision of pattern: 1.0; tp, abs. recall of pattern: 94; pattern: _OTOKEN_alright; pattern type: l0
len(selected_patterns):34; curr precision: 0.9909; curr recall: 0.105; curr f1: 0.1899; curr tp: 12839; curr fp: 118; curr fn: 109408; curr tn: 1385159; precision of pattern: 1.0; tp, abs. recall of pattern: 93; pattern: _OTOKEN_superb; pattern type: l0
len(selected_patterns):35; curr precision: 0.9907; curr recall: 0.1058; curr f1: 0.1912; curr tp: 12932; curr fp: 121; curr fn: 109315; curr tn: 1385156; precision of pattern: 1.0; tp, abs. recall of pattern: 93; pattern: _OTOKEN_consistent; pattern type: l0
len(selected_patterns):36; curr precision: 0.9907; curr recall: 0.1065; curr f1: 0.1924; curr tp: 13024; curr fp: 122; curr fn: 109223; curr tn: 1385155; precision of pattern: 1.0; tp, abs. recall of pattern: 92; pattern: _OTOKEN_overcooked; pattern type: l0
len(selected_patterns):37; curr precision: 0.9907; curr recall: 0.1073; curr f1: 0.1936; curr tp: 13116; curr fp: 123; curr fn: 109131; curr tn: 1385154; precision of pattern: 1.0; tp, abs. recall of pattern: 92; pattern: _OTOKEN_efficient; pattern type: l0
len(selected_patterns):38; curr precision: 0.9904; curr recall: 0.108; curr f1: 0.1948; curr tp: 13205; curr fp: 128; curr fn: 109042; curr tn: 1385149; precision of pattern: 1.0; tp, abs. recall of pattern: 89; pattern: _OTOKEN_tough; pattern type: l0
len(selected_patterns):39; curr precision: 0.9905; curr recall: 0.1087; curr f1: 0.196; curr tp: 13294; curr fp: 128; curr fn: 108953; curr tn: 1385149; precision of pattern: 1.0; tp, abs. recall of pattern: 89; pattern: _OTOKEN_delightful; pattern type: l0
len(selected_patterns):40; curr precision: 0.9905; curr recall: 0.1095; curr f1: 0.1971; curr tp: 13381; curr fp: 129; curr fn: 108866; curr tn: 1385148; precision of pattern: 1.0; tp, abs. recall of pattern: 87; pattern: _OTOKEN_prompt; pattern type: l0
len(selected_patterns):41; curr precision: 0.9905; curr recall: 0.1101; curr f1: 0.1982; curr tp: 13465; curr fp: 129; curr fn: 108782; curr tn: 1385148; precision of pattern: 1.0; tp, abs. recall of pattern: 84; pattern: _OTOKEN_impressive; pattern type: l0
len(selected_patterns):42; curr precision: 0.9906; curr recall: 0.1108; curr f1: 0.1993; curr tp: 13548; curr fp: 129; curr fn: 108699; curr tn: 1385148; precision of pattern: 1.0; tp, abs. recall of pattern: 83; pattern: _OTOKEN_knowledgeable; pattern type: l0
len(selected_patterns):43; curr precision: 0.9906; curr recall: 0.1115; curr f1: 0.2004; curr tp: 13631; curr fp: 129; curr fn: 108616; curr tn: 1385148; precision of pattern: 1.0; tp, abs. recall of pattern: 83; pattern: _OTOKEN_phenomenal; pattern type: l0
len(selected_patterns):44; curr precision: 0.9906; curr recall: 0.1122; curr f1: 0.2015; curr tp: 13712; curr fp: 130; curr fn: 108535; curr tn: 1385147; precision of pattern: 1.0; tp, abs. recall of pattern: 81; pattern: _OTOKEN_oily; pattern type: l0
len(selected_patterns):45; curr precision: 0.9907; curr recall: 0.1128; curr f1: 0.2026; curr tp: 13792; curr fp: 130; curr fn: 108455; curr tn: 1385147; precision of pattern: 1.0; tp, abs. recall of pattern: 80; pattern: _OTOKEN_tasteless; pattern type: l0
len(selected_patterns):46; curr precision: 0.9904; curr recall: 0.1134; curr f1: 0.2036; curr tp: 13868; curr fp: 134; curr fn: 108379; curr tn: 1385143; precision of pattern: 1.0; tp, abs. recall of pattern: 76; pattern: _OTOKEN_complimentary; pattern type: l0
len(selected_patterns):47; curr precision: 0.9904; curr recall: 0.1141; curr f1: 0.2046; curr tp: 13943; curr fp: 135; curr fn: 108304; curr tn: 1385142; precision of pattern: 1.0; tp, abs. recall of pattern: 75; pattern: _OTOKEN_disgusting; pattern type: l0
len(selected_patterns):48; curr precision: 0.9902; curr recall: 0.1146; curr f1: 0.2055; curr tp: 14014; curr fp: 138; curr fn: 108233; curr tn: 1385139; precision of pattern: 1.0; tp, abs. recall of pattern: 71; pattern: _OTOKEN_fluffy; pattern type: l0
len(selected_patterns):49; curr precision: 0.9903; curr recall: 0.1152; curr f1: 0.2063; curr tp: 14079; curr fp: 138; curr fn: 108168; curr tn: 1385139; precision of pattern: 1.0; tp, abs. recall of pattern: 65; pattern: _OTOKEN_hearty; pattern type: l0
len(selected_patterns):50; curr precision: 0.9903; curr recall: 0.1157; curr f1: 0.2072; curr tp: 14144; curr fp: 139; curr fn: 108103; curr tn: 1385138; precision of pattern: 1.0; tp, abs. recall of pattern: 65; pattern: _OTOKEN_lacked; pattern type: l0
len(selected_patterns):51; curr precision: 0.9902; curr recall: 0.1162; curr f1: 0.208; curr tp: 14207; curr fp: 141; curr fn: 108040; curr tn: 1385136; precision of pattern: 1.0; tp, abs. recall of pattern: 63; pattern: _OTOKEN_sucks; pattern type: l0
len(selected_patterns):52; curr precision: 0.9901; curr recall: 0.1167; curr f1: 0.2088; curr tp: 14268; curr fp: 142; curr fn: 107979; curr tn: 1385135; precision of pattern: 1.0; tp, abs. recall of pattern: 61; pattern: _OTOKEN_extensive; pattern type: l0
len(selected_patterns):53; curr precision: 0.99; curr recall: 0.1172; curr f1: 0.2096; curr tp: 14328; curr fp: 144; curr fn: 107919; curr tn: 1385133; precision of pattern: 1.0; tp, abs. recall of pattern: 60; pattern: _OTOKEN_spacious; pattern type: l0
len(selected_patterns):54; curr precision: 0.9901; curr recall: 0.1177; curr f1: 0.2104; curr tp: 14388; curr fp: 144; curr fn: 107859; curr tn: 1385133; precision of pattern: 1.0; tp, abs. recall of pattern: 60; pattern: _OTOKEN_undercooked; pattern type: l0
len(selected_patterns):55; curr precision: 0.9899; curr recall: 0.1182; curr f1: 0.2111; curr tp: 14447; curr fp: 148; curr fn: 107800; curr tn: 1385129; precision of pattern: 1.0; tp, abs. recall of pattern: 59; pattern: _OTOKEN_inviting; pattern type: l0
len(selected_patterns):56; curr precision: 0.9899; curr recall: 0.1187; curr f1: 0.2119; curr tp: 14505; curr fp: 148; curr fn: 107742; curr tn: 1385129; precision of pattern: 1.0; tp, abs. recall of pattern: 58; pattern: _OTOKEN_terrific; pattern type: l0
len(selected_patterns):57; curr precision: 0.9899; curr recall: 0.1191; curr f1: 0.2127; curr tp: 14562; curr fp: 148; curr fn: 107685; curr tn: 1385129; precision of pattern: 1.0; tp, abs. recall of pattern: 57; pattern: _OTOKEN_courteous; pattern type: l0
len(selected_patterns):58; curr precision: 0.99; curr recall: 0.1196; curr f1: 0.2134; curr tp: 14618; curr fp: 148; curr fn: 107629; curr tn: 1385129; precision of pattern: 1.0; tp, abs. recall of pattern: 56; pattern: _OTOKEN_flavorless; pattern type: l0
len(selected_patterns):59; curr precision: 0.9899; curr recall: 0.12; curr f1: 0.2141; curr tp: 14674; curr fp: 149; curr fn: 107573; curr tn: 1385128; precision of pattern: 1.0; tp, abs. recall of pattern: 56; pattern: _OTOKEN_relaxed; pattern type: l0
len(selected_patterns):60; curr precision: 0.9897; curr recall: 0.1205; curr f1: 0.2148; curr tp: 14729; curr fp: 154; curr fn: 107518; curr tn: 1385123; precision of pattern: 1.0; tp, abs. recall of pattern: 55; pattern: _OTOKEN_inexpensive; pattern type: l0
len(selected_patterns):61; curr precision: 0.9894; curr recall: 0.1209; curr f1: 0.2155; curr tp: 14783; curr fp: 159; curr fn: 107464; curr tn: 1385118; precision of pattern: 1.0; tp, abs. recall of pattern: 54; pattern: _OTOKEN_stale; pattern type: l0
len(selected_patterns):62; curr precision: 0.9893; curr recall: 0.1214; curr f1: 0.2162; curr tp: 14836; curr fp: 161; curr fn: 107411; curr tn: 1385116; precision of pattern: 1.0; tp, abs. recall of pattern: 53; pattern: _OTOKEN_memorable; pattern type: l0
len(selected_patterns):63; curr precision: 0.9892; curr recall: 0.1218; curr f1: 0.2168; curr tp: 14886; curr fp: 162; curr fn: 107361; curr tn: 1385115; precision of pattern: 1.0; tp, abs. recall of pattern: 50; pattern: _OTOKEN_heavenly; pattern type: l0
len(selected_patterns):64; curr precision: 0.9893; curr recall: 0.1222; curr f1: 0.2175; curr tp: 14935; curr fp: 162; curr fn: 107312; curr tn: 1385115; precision of pattern: 1.0; tp, abs. recall of pattern: 49; pattern: _OTOKEN_inedible; pattern type: l0
len(selected_patterns):65; curr precision: 0.989; curr recall: 0.1226; curr f1: 0.2181; curr tp: 14984; curr fp: 167; curr fn: 107263; curr tn: 1385110; precision of pattern: 1.0; tp, abs. recall of pattern: 49; pattern: _OTOKEN_beautifully; pattern type: l0
len(selected_patterns):66; curr precision: 0.9889; curr recall: 0.123; curr f1: 0.2187; curr tp: 15033; curr fp: 168; curr fn: 107214; curr tn: 1385109; precision of pattern: 1.0; tp, abs. recall of pattern: 49; pattern: _OTOKEN_crappy; pattern type: l0
len(selected_patterns):67; curr precision: 0.9889; curr recall: 0.1233; curr f1: 0.2193; curr tp: 15079; curr fp: 169; curr fn: 107168; curr tn: 1385108; precision of pattern: 1.0; tp, abs. recall of pattern: 46; pattern: _OTOKEN_divine; pattern type: l0
len(selected_patterns):68; curr precision: 0.9889; curr recall: 0.1237; curr f1: 0.2199; curr tp: 15124; curr fp: 169; curr fn: 107123; curr tn: 1385108; precision of pattern: 1.0; tp, abs. recall of pattern: 45; pattern: _OTOKEN_gorgeous; pattern type: l0
len(selected_patterns):69; curr precision: 0.9889; curr recall: 0.1241; curr f1: 0.2205; curr tp: 15169; curr fp: 170; curr fn: 107078; curr tn: 1385107; precision of pattern: 1.0; tp, abs. recall of pattern: 45; pattern: _OTOKEN_pricy; pattern type: l0
len(selected_patterns):70; curr precision: 0.9887; curr recall: 0.1245; curr f1: 0.2211; curr tp: 15214; curr fp: 174; curr fn: 107033; curr tn: 1385103; precision of pattern: 1.0; tp, abs. recall of pattern: 45; pattern: _OTOKEN_boring; pattern type: l0
len(selected_patterns):71; curr precision: 0.9886; curr recall: 0.1248; curr f1: 0.2217; curr tp: 15259; curr fp: 176; curr fn: 106988; curr tn: 1385101; precision of pattern: 1.0; tp, abs. recall of pattern: 45; pattern: _OTOKEN_acceptable; pattern type: l0
len(selected_patterns):72; curr precision: 0.9886; curr recall: 0.1252; curr f1: 0.2222; curr tp: 15303; curr fp: 177; curr fn: 106944; curr tn: 1385100; precision of pattern: 1.0; tp, abs. recall of pattern: 44; pattern: _OTOKEN_tight; pattern type: l0
len(selected_patterns):73; curr precision: 0.9885; curr recall: 0.1255; curr f1: 0.2228; curr tp: 15347; curr fp: 179; curr fn: 106900; curr tn: 1385098; precision of pattern: 1.0; tp, abs. recall of pattern: 44; pattern: _OTOKEN_desired; pattern type: l0
len(selected_patterns):74; curr precision: 0.9884; curr recall: 0.1259; curr f1: 0.2234; curr tp: 15391; curr fp: 180; curr fn: 106856; curr tn: 1385097; precision of pattern: 1.0; tp, abs. recall of pattern: 44; pattern: _OTOKEN_lively; pattern type: l0
len(selected_patterns):75; curr precision: 0.9883; curr recall: 0.1263; curr f1: 0.2239; curr tp: 15435; curr fp: 183; curr fn: 106812; curr tn: 1385094; precision of pattern: 1.0; tp, abs. recall of pattern: 44; pattern: _OTOKEN_so-so; pattern type: l0
len(selected_patterns):76; curr precision: 0.9876; curr recall: 0.1266; curr f1: 0.2245; curr tp: 15479; curr fp: 195; curr fn: 106768; curr tn: 1385082; precision of pattern: 1.0; tp, abs. recall of pattern: 44; pattern: _OTOKEN_favourite; pattern type: l0
len(selected_patterns):77; curr precision: 0.9875; curr recall: 0.127; curr f1: 0.225; curr tp: 15522; curr fp: 196; curr fn: 106725; curr tn: 1385081; precision of pattern: 1.0; tp, abs. recall of pattern: 43; pattern: _OTOKEN_plentiful; pattern type: l0
len(selected_patterns):78; curr precision: 0.9876; curr recall: 0.1273; curr f1: 0.2256; curr tp: 15565; curr fp: 196; curr fn: 106682; curr tn: 1385081; precision of pattern: 1.0; tp, abs. recall of pattern: 43; pattern: _OTOKEN_ample; pattern type: l0
len(selected_patterns):79; curr precision: 0.9874; curr recall: 0.1277; curr f1: 0.2261; curr tp: 15608; curr fp: 199; curr fn: 106639; curr tn: 1385078; precision of pattern: 1.0; tp, abs. recall of pattern: 43; pattern: _OTOKEN_overwhelming; pattern type: l0
len(selected_patterns):80; curr precision: 0.9874; curr recall: 0.128; curr f1: 0.2267; curr tp: 15651; curr fp: 199; curr fn: 106596; curr tn: 1385078; precision of pattern: 1.0; tp, abs. recall of pattern: 43; pattern: _OTOKEN_stellar; pattern type: l0
len(selected_patterns):81; curr precision: 0.9874; curr recall: 0.1284; curr f1: 0.2272; curr tp: 15693; curr fp: 201; curr fn: 106554; curr tn: 1385076; precision of pattern: 1.0; tp, abs. recall of pattern: 42; pattern: _OTOKEN_ridiculously; pattern type: l0
len(selected_patterns):82; curr precision: 0.9874; curr recall: 0.1287; curr f1: 0.2277; curr tp: 15733; curr fp: 201; curr fn: 106514; curr tn: 1385076; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: _OTOKEN_impeccable; pattern type: l0
len(selected_patterns):83; curr precision: 0.9874; curr recall: 0.129; curr f1: 0.2282; curr tp: 15773; curr fp: 202; curr fn: 106474; curr tn: 1385075; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: _OTOKEN_charming; pattern type: l0
len(selected_patterns):84; curr precision: 0.9873; curr recall: 0.1294; curr f1: 0.2287; curr tp: 15813; curr fp: 203; curr fn: 106434; curr tn: 1385074; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: _OTOKEN_blah; pattern type: l0
len(selected_patterns):85; curr precision: 0.9871; curr recall: 0.1297; curr f1: 0.2292; curr tp: 15853; curr fp: 207; curr fn: 106394; curr tn: 1385070; precision of pattern: 1.0; tp, abs. recall of pattern: 40; pattern: _OTOKEN_funky; pattern type: l0
len(selected_patterns):86; curr precision: 0.9867; curr recall: 0.13; curr f1: 0.2297; curr tp: 15892; curr fp: 214; curr fn: 106355; curr tn: 1385063; precision of pattern: 1.0; tp, abs. recall of pattern: 39; pattern: _OTOKEN_edible; pattern type: l0
len(selected_patterns):87; curr precision: 0.9867; curr recall: 0.1303; curr f1: 0.2302; curr tp: 15928; curr fp: 214; curr fn: 106319; curr tn: 1385063; precision of pattern: 1.0; tp, abs. recall of pattern: 36; pattern: _OTOKEN_personable; pattern type: l0
len(selected_patterns):88; curr precision: 0.9867; curr recall: 0.1306; curr f1: 0.2306; curr tp: 15963; curr fp: 215; curr fn: 106284; curr tn: 1385062; precision of pattern: 1.0; tp, abs. recall of pattern: 35; pattern: _OTOKEN_exciting; pattern type: l0
len(selected_patterns):89; curr precision: 0.9865; curr recall: 0.1309; curr f1: 0.2311; curr tp: 15998; curr fp: 219; curr fn: 106249; curr tn: 1385058; precision of pattern: 1.0; tp, abs. recall of pattern: 35; pattern: _OTOKEN_nicer; pattern type: l0
len(selected_patterns):90; curr precision: 0.9863; curr recall: 0.1311; curr f1: 0.2315; curr tp: 16032; curr fp: 223; curr fn: 106215; curr tn: 1385054; precision of pattern: 1.0; tp, abs. recall of pattern: 34; pattern: _OTOKEN_runny; pattern type: l0
len(selected_patterns):91; curr precision: 0.9863; curr recall: 0.1314; curr f1: 0.2319; curr tp: 16065; curr fp: 223; curr fn: 106182; curr tn: 1385054; precision of pattern: 1.0; tp, abs. recall of pattern: 33; pattern: _OTOKEN_timely; pattern type: l0
len(selected_patterns):92; curr precision: 0.9861; curr recall: 0.1317; curr f1: 0.2323; curr tp: 16098; curr fp: 227; curr fn: 106149; curr tn: 1385050; precision of pattern: 1.0; tp, abs. recall of pattern: 33; pattern: _OTOKEN_fishy; pattern type: l0
len(selected_patterns):93; curr precision: 0.9859; curr recall: 0.132; curr f1: 0.2328; curr tp: 16131; curr fp: 231; curr fn: 106116; curr tn: 1385046; precision of pattern: 1.0; tp, abs. recall of pattern: 33; pattern: _OTOKEN_downhill; pattern type: l0
len(selected_patterns):94; curr precision: 0.9858; curr recall: 0.1322; curr f1: 0.2332; curr tp: 16164; curr fp: 233; curr fn: 106083; curr tn: 1385044; precision of pattern: 1.0; tp, abs. recall of pattern: 33; pattern: _OTOKEN_neat; pattern type: l0
len(selected_patterns):95; curr precision: 0.9858; curr recall: 0.1325; curr f1: 0.2336; curr tp: 16197; curr fp: 233; curr fn: 106050; curr tn: 1385044; precision of pattern: 1.0; tp, abs. recall of pattern: 33; pattern: _OTOKEN_tangy; pattern type: l0
len(selected_patterns):96; curr precision: 0.9858; curr recall: 0.1328; curr f1: 0.234; curr tp: 16230; curr fp: 233; curr fn: 106017; curr tn: 1385044; precision of pattern: 1.0; tp, abs. recall of pattern: 33; pattern: _OTOKEN_deliciously; pattern type: l0
len(selected_patterns):97; curr precision: 0.9855; curr recall: 0.133; curr f1: 0.2344; curr tp: 16263; curr fp: 239; curr fn: 105984; curr tn: 1385038; precision of pattern: 1.0; tp, abs. recall of pattern: 33; pattern: _OTOKEN_sucked; pattern type: l0
len(selected_patterns):98; curr precision: 0.9855; curr recall: 0.1333; curr f1: 0.2348; curr tp: 16295; curr fp: 239; curr fn: 105952; curr tn: 1385038; precision of pattern: 1.0; tp, abs. recall of pattern: 32; pattern: _OTOKEN_frustrating; pattern type: l0
len(selected_patterns):99; curr precision: 0.9855; curr recall: 0.1336; curr f1: 0.2352; curr tp: 16327; curr fp: 240; curr fn: 105920; curr tn: 1385037; precision of pattern: 1.0; tp, abs. recall of pattern: 32; pattern: _OTOKEN_insanely; pattern type: l0
len(selected_patterns):100; curr precision: 0.9852; curr recall: 0.1338; curr f1: 0.2356; curr tp: 16359; curr fp: 246; curr fn: 105888; curr tn: 1385031; precision of pattern: 1.0; tp, abs. recall of pattern: 32; pattern: _OTOKEN_overwhelmed; pattern type: l0
len(selected_patterns):101; curr precision: 0.9852; curr recall: 0.1341; curr f1: 0.236; curr tp: 16391; curr fp: 247; curr fn: 105856; curr tn: 1385030; precision of pattern: 1.0; tp, abs. recall of pattern: 32; pattern: _OTOKEN_steep; pattern type: l0
len(selected_patterns):102; curr precision: 0.9852; curr recall: 0.1343; curr f1: 0.2364; curr tp: 16422; curr fp: 247; curr fn: 105825; curr tn: 1385030; precision of pattern: 1.0; tp, abs. recall of pattern: 31; pattern: _OTOKEN_knowledgable; pattern type: l0
len(selected_patterns):103; curr precision: 0.9851; curr recall: 0.1346; curr f1: 0.2368; curr tp: 16453; curr fp: 249; curr fn: 105794; curr tn: 1385028; precision of pattern: 1.0; tp, abs. recall of pattern: 31; pattern: _OTOKEN_rubbery; pattern type: l0
len(selected_patterns):104; curr precision: 0.9849; curr recall: 0.1348; curr f1: 0.2372; curr tp: 16484; curr fp: 252; curr fn: 105763; curr tn: 1385025; precision of pattern: 1.0; tp, abs. recall of pattern: 31; pattern: _OTOKEN_weak; pattern type: l0
len(selected_patterns):105; curr precision: 0.9848; curr recall: 0.1351; curr f1: 0.2376; curr tp: 16515; curr fp: 255; curr fn: 105732; curr tn: 1385022; precision of pattern: 1.0; tp, abs. recall of pattern: 31; pattern: _OTOKEN_adorable; pattern type: l0
