len(selected_patterns):1; curr precision: 0.9945; curr recall: 0.014; curr f1: 0.0276; curr tp: 2157; curr fp: 12; curr fn: 152008; curr tn: 1353347; precision of pattern: 0.9959; tp, abs. recall of pattern: 2157; pattern: ('DEP_nsubj', 'WORD', '_ATOKEN_service'); pattern type: l1
len(selected_patterns):24; curr precision: 0.9932; curr recall: 0.052; curr f1: 0.0988; curr tp: 8012; curr fp: 55; curr fn: 146153; curr tn: 1353304; precision of pattern: 1.0; tp, abs. recall of pattern: 238; pattern: ('PROX_near1', 'TOKEN_and', '_ATOKEN_service'); pattern type: l1
len(selected_patterns):25; curr precision: 0.9932; curr recall: 0.052; curr f1: 0.0989; curr tp: 8022; curr fp: 55; curr fn: 146143; curr tn: 1353304; precision of pattern: 1.0; tp, abs. recall of pattern: 231; pattern: ('PROX_near2', '_ATOKEN_service', 'TOKEN_great'); pattern type: l1
len(selected_patterns):26; curr precision: 0.9929; curr recall: 0.0535; curr f1: 0.1016; curr tp: 8250; curr fp: 59; curr fn: 145915; curr tn: 1353300; precision of pattern: 1.0; tp, abs. recall of pattern: 228; pattern: ('DEP_nsubj', 'WORD', '_ATOKEN_salad'); pattern type: l1
len(selected_patterns):27; curr precision: 0.9929; curr recall: 0.0537; curr f1: 0.1019; curr tp: 8282; curr fp: 59; curr fn: 145883; curr tn: 1353300; precision of pattern: 1.0; tp, abs. recall of pattern: 221; pattern: ('DEP_nsubj', 'TOKEN_great', '_ATOKEN_food'); pattern type: l1
len(selected_patterns):28; curr precision: 0.9928; curr recall: 0.0545; curr f1: 0.1033; curr tp: 8401; curr fp: 61; curr fn: 145764; curr tn: 1353298; precision of pattern: 1.0; tp, abs. recall of pattern: 210; pattern: ('DEP_conj', 'WORD', '_ATOKEN_atmosphere'); pattern type: l1
len(selected_patterns):29; curr precision: 0.9928; curr recall: 0.0554; curr f1: 0.1049; curr tp: 8538; curr fp: 62; curr fn: 145627; curr tn: 1353297; precision of pattern: 1.0; tp, abs. recall of pattern: 207; pattern: ('PROX_near2', 'TOKEN_the', '_ATOKEN_salad'); pattern type: l1
len(selected_patterns):30; curr precision: 0.9926; curr recall: 0.0567; curr f1: 0.1073; curr tp: 8744; curr fp: 65; curr fn: 145421; curr tn: 1353294; precision of pattern: 1.0; tp, abs. recall of pattern: 206; pattern: ('DEP_nsubj', 'WORD', '_ATOKEN_bread'); pattern type: l1
len(selected_patterns):31; curr precision: 0.9927; curr recall: 0.0575; curr f1: 0.1087; curr tp: 8868; curr fp: 65; curr fn: 145297; curr tn: 1353294; precision of pattern: 1.0; tp, abs. recall of pattern: 203; pattern: ('DEP_nsubj', 'TOKEN_delicious', '_ATOKEN_food'); pattern type: l1
len(selected_patterns):32; curr precision: 0.9927; curr recall: 0.0577; curr f1: 0.109; curr tp: 8891; curr fp: 65; curr fn: 145274; curr tn: 1353294; precision of pattern: 1.0; tp, abs. recall of pattern: 202; pattern: ('SRL_none', 'WORD', '_ATOKEN_atmosphere'); pattern type: l1
len(selected_patterns):33; curr precision: 0.9926; curr recall: 0.0581; curr f1: 0.1098; curr tp: 8956; curr fp: 67; curr fn: 145209; curr tn: 1353292; precision of pattern: 1.0; tp, abs. recall of pattern: 199; pattern: ('SRL_arg1', 'TOKEN_was', '_ATOKEN_salad'); pattern type: l1
len(selected_patterns):34; curr precision: 0.9926; curr recall: 0.0593; curr f1: 0.1119; curr tp: 9145; curr fp: 68; curr fn: 145020; curr tn: 1353291; precision of pattern: 1.0; tp, abs. recall of pattern: 189; pattern: ('SRL_arg1', 'TOKEN_were', '_ATOKEN_fries'); pattern type: l1
len(selected_patterns):35; curr precision: 0.9924; curr recall: 0.0601; curr f1: 0.1133; curr tp: 9260; curr fp: 71; curr fn: 144905; curr tn: 1353288; precision of pattern: 1.0; tp, abs. recall of pattern: 188; pattern: ('SRL_none', 'TOKEN_!', '_ATOKEN_food'); pattern type: l1
len(selected_patterns):36; curr precision: 0.9925; curr recall: 0.0612; curr f1: 0.1153; curr tp: 9432; curr fp: 71; curr fn: 144733; curr tn: 1353288; precision of pattern: 1.0; tp, abs. recall of pattern: 187; pattern: ('SRL_arg1', 'TOKEN_is', '_ATOKEN_atmosphere'); pattern type: l1
len(selected_patterns):37; curr precision: 0.9925; curr recall: 0.0614; curr f1: 0.1157; curr tp: 9468; curr fp: 72; curr fn: 144697; curr tn: 1353287; precision of pattern: 1.0; tp, abs. recall of pattern: 187; pattern: ('DEP_punct', '_ATOKEN_food', 'TOKEN_!'); pattern type: l1
len(selected_patterns):38; curr precision: 0.9925; curr recall: 0.0614; curr f1: 0.1157; curr tp: 9469; curr fp: 72; curr fn: 144696; curr tn: 1353287; precision of pattern: 1.0; tp, abs. recall of pattern: 182; pattern: ('DEP_root', 'TOKEN_!', '_ATOKEN_food'); pattern type: l1
len(selected_patterns):39; curr precision: 0.9924; curr recall: 0.0626; curr f1: 0.1177; curr tp: 9648; curr fp: 74; curr fn: 144517; curr tn: 1353285; precision of pattern: 1.0; tp, abs. recall of pattern: 180; pattern: ('SRL_none', 'WORD', '_ATOKEN_staff'); pattern type: l1
len(selected_patterns):40; curr precision: 0.9924; curr recall: 0.0626; curr f1: 0.1178; curr tp: 9650; curr fp: 74; curr fn: 144515; curr tn: 1353285; precision of pattern: 1.0; tp, abs. recall of pattern: 178; pattern: ('DEP_root', 'WORD', '_ATOKEN_atmosphere'); pattern type: l1
len(selected_patterns):41; curr precision: 0.9922; curr recall: 0.0632; curr f1: 0.1189; curr tp: 9748; curr fp: 77; curr fn: 144417; curr tn: 1353282; precision of pattern: 1.0; tp, abs. recall of pattern: 178; pattern: ('PROX_near2', 'TOKEN_and', '_ATOKEN_staff'); pattern type: l1
len(selected_patterns):42; curr precision: 0.992; curr recall: 0.0635; curr f1: 0.1194; curr tp: 9793; curr fp: 79; curr fn: 144372; curr tn: 1353280; precision of pattern: 1.0; tp, abs. recall of pattern: 178; pattern: ('PROX_near1', '_ATOKEN_atmosphere', 'TOKEN_.'); pattern type: l1
len(selected_patterns):43; curr precision: 0.9919; curr recall: 0.0637; curr f1: 0.1197; curr tp: 9821; curr fp: 80; curr fn: 144344; curr tn: 1353279; precision of pattern: 1.0; tp, abs. recall of pattern: 177; pattern: ('PROX_near1', '_ATOKEN_chicken', 'TOKEN_was'); pattern type: l1
len(selected_patterns):44; curr precision: 0.9918; curr recall: 0.0648; curr f1: 0.1217; curr tp: 9994; curr fp: 83; curr fn: 144171; curr tn: 1353276; precision of pattern: 1.0; tp, abs. recall of pattern: 173; pattern: ('DEP_nsubj', 'WORD', '_ATOKEN_soup'); pattern type: l1
len(selected_patterns):45; curr precision: 0.9916; curr recall: 0.0659; curr f1: 0.1236; curr tp: 10165; curr fp: 86; curr fn: 144000; curr tn: 1353273; precision of pattern: 1.0; tp, abs. recall of pattern: 171; pattern: ('SRL_arg1', 'TOKEN_are', '_ATOKEN_portions'); pattern type: l1
len(selected_patterns):46; curr precision: 0.9906; curr recall: 0.067; curr f1: 0.1256; curr tp: 10335; curr fp: 98; curr fn: 143830; curr tn: 1353261; precision of pattern: 1.0; tp, abs. recall of pattern: 170; pattern: ('DEP_det', '_ATOKEN_roll', 'TOKEN_the'); pattern type: l1
len(selected_patterns):47; curr precision: 0.9895; curr recall: 0.0681; curr f1: 0.1275; curr tp: 10504; curr fp: 111; curr fn: 143661; curr tn: 1353248; precision of pattern: 1.0; tp, abs. recall of pattern: 169; pattern: _ATOKEN_ribs; pattern type: l0
len(selected_patterns):48; curr precision: 0.9896; curr recall: 0.0682; curr f1: 0.1276; curr tp: 10513; curr fp: 111; curr fn: 143652; curr tn: 1353248; precision of pattern: 1.0; tp, abs. recall of pattern: 169; pattern: ('PROX_near1', '_ATOKEN_atmosphere', 'TOKEN_is'); pattern type: l1
len(selected_patterns):49; curr precision: 0.9896; curr recall: 0.0693; curr f1: 0.1295; curr tp: 10681; curr fp: 112; curr fn: 143484; curr tn: 1353247; precision of pattern: 1.0; tp, abs. recall of pattern: 168; pattern: _ATOKEN_calamari; pattern type: l0
len(selected_patterns):50; curr precision: 0.9896; curr recall: 0.0694; curr f1: 0.1296; curr tp: 10693; curr fp: 112; curr fn: 143472; curr tn: 1353247; precision of pattern: 1.0; tp, abs. recall of pattern: 168; pattern: ('SRL_arg1', 'WORD', '_ATOKEN_ambiance'); pattern type: l1
len(selected_patterns):51; curr precision: 0.9896; curr recall: 0.0694; curr f1: 0.1298; curr tp: 10705; curr fp: 112; curr fn: 143460; curr tn: 1353247; precision of pattern: 1.0; tp, abs. recall of pattern: 168; pattern: ('PROX_near1', '_ATOKEN_fries', 'TOKEN_were'); pattern type: l1
len(selected_patterns):52; curr precision: 0.9894; curr recall: 0.0705; curr f1: 0.1317; curr tp: 10872; curr fp: 116; curr fn: 143293; curr tn: 1353243; precision of pattern: 1.0; tp, abs. recall of pattern: 167; pattern: ('DEP_compound', 'WORD', '_ATOKEN_lamb'); pattern type: l1
len(selected_patterns):53; curr precision: 0.9892; curr recall: 0.0716; curr f1: 0.1335; curr tp: 11038; curr fp: 120; curr fn: 143127; curr tn: 1353239; precision of pattern: 1.0; tp, abs. recall of pattern: 166; pattern: ('SRL_arg1', 'TOKEN_was', '_ATOKEN_burger'); pattern type: l1
len(selected_patterns):54; curr precision: 0.9888; curr recall: 0.0727; curr f1: 0.1354; curr tp: 11201; curr fp: 127; curr fn: 142964; curr tn: 1353232; precision of pattern: 1.0; tp, abs. recall of pattern: 164; pattern: ('DEP_compound', '_AWORD', 'TOKEN_lamb'); pattern type: l1
len(selected_patterns):55; curr precision: 0.9885; curr recall: 0.0737; curr f1: 0.1372; curr tp: 11364; curr fp: 132; curr fn: 142801; curr tn: 1353227; precision of pattern: 1.0; tp, abs. recall of pattern: 163; pattern: _ATOKEN_dumplings; pattern type: l0
len(selected_patterns):56; curr precision: 0.988; curr recall: 0.0748; curr f1: 0.139; curr tp: 11527; curr fp: 140; curr fn: 142638; curr tn: 1353219; precision of pattern: 1.0; tp, abs. recall of pattern: 163; pattern: ('SRL_arg1', 'TOKEN_is', '_ATOKEN_pizza'); pattern type: l1
len(selected_patterns):57; curr precision: 0.987; curr recall: 0.0758; curr f1: 0.1408; curr tp: 11689; curr fp: 154; curr fn: 142476; curr tn: 1353205; precision of pattern: 1.0; tp, abs. recall of pattern: 162; pattern: ('DEP_det', '_ATOKEN_cheese', 'TOKEN_the'); pattern type: l1
len(selected_patterns):58; curr precision: 0.987; curr recall: 0.0759; curr f1: 0.1409; curr tp: 11697; curr fp: 154; curr fn: 142468; curr tn: 1353205; precision of pattern: 1.0; tp, abs. recall of pattern: 161; pattern: ('PROX_near2', '_ATOKEN_food', 'TOKEN_delicious'); pattern type: l1
len(selected_patterns):59; curr precision: 0.987; curr recall: 0.0759; curr f1: 0.1409; curr tp: 11699; curr fp: 154; curr fn: 142466; curr tn: 1353205; precision of pattern: 1.0; tp, abs. recall of pattern: 158; pattern: ('PROX_near1', '_ATOKEN_portions', 'TOKEN_are'); pattern type: l1
len(selected_patterns):60; curr precision: 0.9869; curr recall: 0.0769; curr f1: 0.1427; curr tp: 11853; curr fp: 157; curr fn: 142312; curr tn: 1353202; precision of pattern: 1.0; tp, abs. recall of pattern: 154; pattern: ('SRL_arg1', 'TOKEN_was', '_ATOKEN_waiter'); pattern type: l1
len(selected_patterns):61; curr precision: 0.9869; curr recall: 0.0769; curr f1: 0.1427; curr tp: 11858; curr fp: 157; curr fn: 142307; curr tn: 1353202; precision of pattern: 1.0; tp, abs. recall of pattern: 154; pattern: ('PROX_near2', '_ATOKEN_service', 'TOKEN_good'); pattern type: l1
len(selected_patterns):62; curr precision: 0.9871; curr recall: 0.0779; curr f1: 0.1444; curr tp: 12012; curr fp: 157; curr fn: 142153; curr tn: 1353202; precision of pattern: 1.0; tp, abs. recall of pattern: 154; pattern: ('PROX_near1', '_ATOKEN_sauce', 'TOKEN_was'); pattern type: l1
len(selected_patterns):63; curr precision: 0.987; curr recall: 0.078; curr f1: 0.1445; curr tp: 12019; curr fp: 158; curr fn: 142146; curr tn: 1353201; precision of pattern: 1.0; tp, abs. recall of pattern: 151; pattern: ('PROX_near2', '_ATOKEN_food', 'TOKEN_service'); pattern type: l1
len(selected_patterns):64; curr precision: 0.9869; curr recall: 0.078; curr f1: 0.1445; curr tp: 12020; curr fp: 159; curr fn: 142145; curr tn: 1353200; precision of pattern: 1.0; tp, abs. recall of pattern: 151; pattern: ('PROX_near2', 'TOKEN_food', '_ATOKEN_service'); pattern type: l1
len(selected_patterns):65; curr precision: 0.987; curr recall: 0.0784; curr f1: 0.1453; curr tp: 12089; curr fp: 159; curr fn: 142076; curr tn: 1353200; precision of pattern: 1.0; tp, abs. recall of pattern: 151; pattern: ('DEP_amod', '_ATOKEN_staff', 'TOKEN_friendly'); pattern type: l1
len(selected_patterns):66; curr precision: 0.9868; curr recall: 0.079; curr f1: 0.1462; curr tp: 12175; curr fp: 163; curr fn: 141990; curr tn: 1353196; precision of pattern: 1.0; tp, abs. recall of pattern: 150; pattern: ('DEP_amod', '_ATOKEN_tacos', 'WORD'); pattern type: l1
len(selected_patterns):67; curr precision: 0.9868; curr recall: 0.0793; curr f1: 0.1468; curr tp: 12228; curr fp: 163; curr fn: 141937; curr tn: 1353196; precision of pattern: 1.0; tp, abs. recall of pattern: 150; pattern: ('DEP_conj', '_ATOKEN_atmosphere', 'WORD'); pattern type: l1
len(selected_patterns):68; curr precision: 0.9864; curr recall: 0.0803; curr f1: 0.1485; curr tp: 12376; curr fp: 171; curr fn: 141789; curr tn: 1353188; precision of pattern: 1.0; tp, abs. recall of pattern: 148; pattern: ('SRL_arg1', 'WORD', '_ATOKEN_oysters'); pattern type: l1
len(selected_patterns):69; curr precision: 0.986; curr recall: 0.0812; curr f1: 0.1501; curr tp: 12523; curr fp: 178; curr fn: 141642; curr tn: 1353181; precision of pattern: 1.0; tp, abs. recall of pattern: 147; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_sushi'); pattern type: l1
len(selected_patterns):70; curr precision: 0.986; curr recall: 0.0816; curr f1: 0.1507; curr tp: 12573; curr fp: 178; curr fn: 141592; curr tn: 1353181; precision of pattern: 1.0; tp, abs. recall of pattern: 146; pattern: ('PROX_near2', '_ATOKEN_staff', 'TOKEN_very'); pattern type: l1
len(selected_patterns):71; curr precision: 0.9859; curr recall: 0.0818; curr f1: 0.1511; curr tp: 12616; curr fp: 180; curr fn: 141549; curr tn: 1353179; precision of pattern: 1.0; tp, abs. recall of pattern: 144; pattern: ('DEP_det', '_ATOKEN_sushi', 'WORD'); pattern type: l1
len(selected_patterns):72; curr precision: 0.986; curr recall: 0.0822; curr f1: 0.1517; curr tp: 12672; curr fp: 180; curr fn: 141493; curr tn: 1353179; precision of pattern: 1.0; tp, abs. recall of pattern: 143; pattern: ('DEP_amod', '_ATOKEN_service', 'TOKEN_good'); pattern type: l1
len(selected_patterns):73; curr precision: 0.9861; curr recall: 0.0826; curr f1: 0.1525; curr tp: 12737; curr fp: 180; curr fn: 141428; curr tn: 1353179; precision of pattern: 1.0; tp, abs. recall of pattern: 143; pattern: ('SRL_arg1', 'TOKEN_is', '_ATOKEN_chicken'); pattern type: l1
len(selected_patterns):74; curr precision: 0.9858; curr recall: 0.0835; curr f1: 0.154; curr tp: 12878; curr fp: 185; curr fn: 141287; curr tn: 1353174; precision of pattern: 1.0; tp, abs. recall of pattern: 141; pattern: ('DEP_det', '_ATOKEN_rolls', 'TOKEN_the'); pattern type: l1
len(selected_patterns):75; curr precision: 0.9859; curr recall: 0.0837; curr f1: 0.1543; curr tp: 12901; curr fp: 185; curr fn: 141264; curr tn: 1353174; precision of pattern: 1.0; tp, abs. recall of pattern: 139; pattern: ('PROX_near1', '_ATOKEN_burger', 'TOKEN_was'); pattern type: l1
len(selected_patterns):76; curr precision: 0.9859; curr recall: 0.0846; curr f1: 0.1558; curr tp: 13040; curr fp: 187; curr fn: 141125; curr tn: 1353172; precision of pattern: 1.0; tp, abs. recall of pattern: 139; pattern: ('DEP_nsubj', 'WORD', '_ATOKEN_coffee'); pattern type: l1
len(selected_patterns):77; curr precision: 0.9852; curr recall: 0.0854; curr f1: 0.1572; curr tp: 13171; curr fp: 198; curr fn: 140994; curr tn: 1353161; precision of pattern: 1.0; tp, abs. recall of pattern: 138; pattern: ('DEP_conj', 'TOKEN_shrimp', '_AWORD'); pattern type: l1
len(selected_patterns):78; curr precision: 0.9852; curr recall: 0.0863; curr f1: 0.1587; curr tp: 13308; curr fp: 200; curr fn: 140857; curr tn: 1353159; precision of pattern: 1.0; tp, abs. recall of pattern: 137; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_lobster'); pattern type: l1
len(selected_patterns):79; curr precision: 0.9851; curr recall: 0.0872; curr f1: 0.1602; curr tp: 13445; curr fp: 204; curr fn: 140720; curr tn: 1353155; precision of pattern: 1.0; tp, abs. recall of pattern: 137; pattern: ('SRL_arg1', 'TOKEN_was', '_ATOKEN_pizza'); pattern type: l1
len(selected_patterns):80; curr precision: 0.985; curr recall: 0.0876; curr f1: 0.1608; curr tp: 13499; curr fp: 206; curr fn: 140666; curr tn: 1353153; precision of pattern: 1.0; tp, abs. recall of pattern: 137; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_cheese'); pattern type: l1
len(selected_patterns):81; curr precision: 0.9848; curr recall: 0.0884; curr f1: 0.1623; curr tp: 13633; curr fp: 210; curr fn: 140532; curr tn: 1353149; precision of pattern: 1.0; tp, abs. recall of pattern: 135; pattern: ('DEP_det', '_ATOKEN_burgers', 'TOKEN_the'); pattern type: l1
len(selected_patterns):82; curr precision: 0.985; curr recall: 0.0893; curr f1: 0.1638; curr tp: 13767; curr fp: 210; curr fn: 140398; curr tn: 1353149; precision of pattern: 1.0; tp, abs. recall of pattern: 134; pattern: ('PROX_near1', '_ATOKEN_beer', 'TOKEN_selection'); pattern type: l1
len(selected_patterns):83; curr precision: 0.985; curr recall: 0.0893; curr f1: 0.1638; curr tp: 13768; curr fp: 210; curr fn: 140397; curr tn: 1353149; precision of pattern: 1.0; tp, abs. recall of pattern: 134; pattern: ('DEP_compound', 'TOKEN_selection', '_ATOKEN_beer'); pattern type: l1
len(selected_patterns):84; curr precision: 0.9846; curr recall: 0.0901; curr f1: 0.1651; curr tp: 13894; curr fp: 217; curr fn: 140271; curr tn: 1353142; precision of pattern: 1.0; tp, abs. recall of pattern: 133; pattern: ('DEP_compound', 'TOKEN_appetizer', '_AWORD'); pattern type: l1
len(selected_patterns):85; curr precision: 0.9847; curr recall: 0.0904; curr f1: 0.1656; curr tp: 13940; curr fp: 217; curr fn: 140225; curr tn: 1353142; precision of pattern: 1.0; tp, abs. recall of pattern: 132; pattern: ('DEP_conj', '_ATOKEN_service', 'TOKEN_food'); pattern type: l1
len(selected_patterns):86; curr precision: 0.9842; curr recall: 0.0908; curr f1: 0.1662; curr tp: 13997; curr fp: 225; curr fn: 140168; curr tn: 1353134; precision of pattern: 1.0; tp, abs. recall of pattern: 131; pattern: ('DEP_det', '_ATOKEN_coffee', 'TOKEN_the'); pattern type: l1
len(selected_patterns):87; curr precision: 0.9841; curr recall: 0.0916; curr f1: 0.1677; curr tp: 14128; curr fp: 228; curr fn: 140037; curr tn: 1353131; precision of pattern: 1.0; tp, abs. recall of pattern: 131; pattern: ('DEP_compound', '_ATOKEN_selection', 'TOKEN_beer'); pattern type: l1
len(selected_patterns):88; curr precision: 0.9841; curr recall: 0.0916; curr f1: 0.1677; curr tp: 14129; curr fp: 228; curr fn: 140036; curr tn: 1353131; precision of pattern: 1.0; tp, abs. recall of pattern: 131; pattern: ('PROX_near1', 'TOKEN_beer', '_ATOKEN_selection'); pattern type: l1
len(selected_patterns):89; curr precision: 0.9838; curr recall: 0.0923; curr f1: 0.1688; curr tp: 14229; curr fp: 234; curr fn: 139936; curr tn: 1353125; precision of pattern: 1.0; tp, abs. recall of pattern: 130; pattern: ('PROX_near1', '_ATOKEN_food', 'TOKEN_here'); pattern type: l1
len(selected_patterns):90; curr precision: 0.9832; curr recall: 0.0929; curr f1: 0.1697; curr tp: 14318; curr fp: 244; curr fn: 139847; curr tn: 1353115; precision of pattern: 1.0; tp, abs. recall of pattern: 127; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_beer'); pattern type: l1
len(selected_patterns):91; curr precision: 0.9832; curr recall: 0.0929; curr f1: 0.1697; curr tp: 14319; curr fp: 244; curr fn: 139846; curr tn: 1353115; precision of pattern: 1.0; tp, abs. recall of pattern: 127; pattern: ('PROX_near1', 'TOKEN_good', '_ATOKEN_service'); pattern type: l1
len(selected_patterns):92; curr precision: 0.983; curr recall: 0.093; curr f1: 0.17; curr tp: 14345; curr fp: 248; curr fn: 139820; curr tn: 1353111; precision of pattern: 1.0; tp, abs. recall of pattern: 126; pattern: ('SRL_arg1', 'TOKEN_was', '_ATOKEN_bread'); pattern type: l1
