len(selected_patterns):1; curr precision: 0.9738; curr recall: 0.0103; curr f1: 0.0203; curr tp: 1599; curr fp: 43; curr fn: 154035; curr tn: 1516652; precision of pattern: 0.9859; tp, abs. recall of pattern: 1599; pattern: _ASYNSET('REWARD.N.04'); pattern type: l0
len(selected_patterns):22; curr precision: 0.915; curr recall: 0.1359; curr f1: 0.2367; curr tp: 21154; curr fp: 1964; curr fn: 134480; curr tn: 1514731; precision of pattern: 0.7949; tp, abs. recall of pattern: 543; pattern: _ASYNSET('LIVE_BODY.N.01'); pattern type: l0
len(selected_patterns):23; curr precision: 0.8851; curr recall: 0.1603; curr f1: 0.2714; curr tp: 24945; curr fp: 3237; curr fn: 130689; curr tn: 1513458; precision of pattern: 0.7537; tp, abs. recall of pattern: 3791; pattern: _ASYNSET('DEVICE.N.01'); pattern type: l0
len(selected_patterns):24; curr precision: 0.8799; curr recall: 0.1625; curr f1: 0.2744; curr tp: 25296; curr fp: 3452; curr fn: 130338; curr tn: 1513243; precision of pattern: 0.7121; tp, abs. recall of pattern: 351; pattern: _ASYNSET('LARGE_INTEGER.N.01'); pattern type: l0
len(selected_patterns):25; curr precision: 0.86; curr recall: 0.1717; curr f1: 0.2863; curr tp: 26726; curr fp: 4349; curr fn: 128908; curr tn: 1512346; precision of pattern: 0.6477; tp, abs. recall of pattern: 1430; pattern: _ASYNSET('COMPUTER_NETWORK.N.01'); pattern type: l0
len(selected_patterns):26; curr precision: 0.8538; curr recall: 0.1742; curr f1: 0.2894; curr tp: 27113; curr fp: 4643; curr fn: 128521; curr tn: 1512052; precision of pattern: 0.6193; tp, abs. recall of pattern: 387; pattern: _ASYNSET('CHROMIUM.N.01'); pattern type: l0
len(selected_patterns):27; curr precision: 0.8485; curr recall: 0.1762; curr f1: 0.2919; curr tp: 27430; curr fp: 4899; curr fn: 128204; curr tn: 1511796; precision of pattern: 0.6087; tp, abs. recall of pattern: 317; pattern: _ASYNSET('VISUAL_COMMUNICATION.N.01'); pattern type: l0
len(selected_patterns):28; curr precision: 0.8426; curr recall: 0.1795; curr f1: 0.296; curr tp: 27943; curr fp: 5221; curr fn: 127691; curr tn: 1511474; precision of pattern: 0.6032; tp, abs. recall of pattern: 513; pattern: _ASYNSET('OPTICAL_DISK.N.01'); pattern type: l0
len(selected_patterns):29; curr precision: 0.8351; curr recall: 0.1827; curr f1: 0.2998; curr tp: 28434; curr fp: 5614; curr fn: 127200; curr tn: 1511081; precision of pattern: 0.5907; tp, abs. recall of pattern: 491; pattern: _ASYNSET('GOOGLE.N.01'); pattern type: l0
len(selected_patterns):30; curr precision: 0.831; curr recall: 0.1846; curr f1: 0.3021; curr tp: 28726; curr fp: 5841; curr fn: 126908; curr tn: 1510854; precision of pattern: 0.5726; tp, abs. recall of pattern: 292; pattern: _ASYNSET('COMPUTER_MEMORY_UNIT.N.01'); pattern type: l0
len(selected_patterns):31; curr precision: 0.8234; curr recall: 0.1887; curr f1: 0.307; curr tp: 29366; curr fp: 6299; curr fn: 126268; curr tn: 1510396; precision of pattern: 0.556; tp, abs. recall of pattern: 640; pattern: _ASYNSET('DUTY.N.02'); pattern type: l0
len(selected_patterns):32; curr precision: 0.8089; curr recall: 0.1922; curr f1: 0.3106; curr tp: 29915; curr fp: 7068; curr fn: 125719; curr tn: 1509627; precision of pattern: 0.4571; tp, abs. recall of pattern: 549; pattern: _ASYNSET('ACTIVITY.N.01'); pattern type: l0
len(selected_patterns):33; curr precision: 0.7972; curr recall: 0.1951; curr f1: 0.3135; curr tp: 30361; curr fp: 7722; curr fn: 125273; curr tn: 1508973; precision of pattern: 0.4408; tp, abs. recall of pattern: 446; pattern: _ASYNSET('BECOME.V.01'); pattern type: l0
len(selected_patterns):34; curr precision: 0.792; curr recall: 0.1963; curr f1: 0.3146; curr tp: 30549; curr fp: 8021; curr fn: 125085; curr tn: 1508674; precision of pattern: 0.4435; tp, abs. recall of pattern: 188; pattern: _ASYNSET('REPRESENTATION.N.02'); pattern type: l0
len(selected_patterns):35; curr precision: 0.3899; curr recall: 0.8519; curr f1: 0.535; curr tp: 132587; curr fp: 207461; curr fn: 23047; curr tn: 1309234; precision of pattern: 0.3959; tp, abs. recall of pattern: 131232; pattern: _APOS_N; pattern type: l0
