len(selected_patterns):1; curr precision: 0.9958; curr recall: 0.0108; curr f1: 0.0214; curr tp: 1178; curr fp: 5; curr fn: 107973; curr tn: 1563173; precision of pattern: 0.9963; tp, abs. recall of pattern: 1178; pattern: _OSYNSET('PERFECT.A.01'); pattern type: l0
len(selected_patterns):17; curr precision: 0.9933; curr recall: 0.0514; curr f1: 0.0978; curr tp: 5615; curr fp: 38; curr fn: 103536; curr tn: 1563140; precision of pattern: 1.0; tp, abs. recall of pattern: 432; pattern: ('DEP_nsubj', "_OSYNSET('EASY.A.03')", 'WORD'); pattern type: l1
len(selected_patterns):18; curr precision: 0.9932; curr recall: 0.0523; curr f1: 0.0993; curr tp: 5706; curr fp: 39; curr fn: 103445; curr tn: 1563139; precision of pattern: 1.0; tp, abs. recall of pattern: 424; pattern: ('DEP_cop', "_OSYNSET('NICE.A.01')", 'POS_VBZ'); pattern type: l1
len(selected_patterns):19; curr precision: 0.9917; curr recall: 0.0556; curr f1: 0.1053; curr tp: 6069; curr fp: 51; curr fn: 103082; curr tn: 1563127; precision of pattern: 1.0; tp, abs. recall of pattern: 363; pattern: ('DEP_amod', 'WORD', "_OSYNSET('FAST.A.03')"); pattern type: l1
len(selected_patterns):20; curr precision: 0.9917; curr recall: 0.0561; curr f1: 0.1063; curr tp: 6128; curr fp: 51; curr fn: 103023; curr tn: 1563127; precision of pattern: 1.0; tp, abs. recall of pattern: 319; pattern: ('SRL_none', 'WORD', "_OSYNSET('NICE.A.01')"); pattern type: l1
len(selected_patterns):21; curr precision: 0.9921; curr recall: 0.059; curr f1: 0.1113; curr tp: 6437; curr fp: 51; curr fn: 102714; curr tn: 1563127; precision of pattern: 1.0; tp, abs. recall of pattern: 318; pattern: ('PROX_near1', "_OSYNSET('FAST.A.03')", 'POS_.'); pattern type: l1
len(selected_patterns):22; curr precision: 0.9922; curr recall: 0.0594; curr f1: 0.1121; curr tp: 6484; curr fp: 51; curr fn: 102667; curr tn: 1563127; precision of pattern: 1.0; tp, abs. recall of pattern: 292; pattern: ('PROX_near1', 'POS_VBZ', "_OSYNSET('NICE.A.01')"); pattern type: l1
len(selected_patterns):23; curr precision: 0.9922; curr recall: 0.0596; curr f1: 0.1124; curr tp: 6504; curr fp: 51; curr fn: 102647; curr tn: 1563127; precision of pattern: 1.0; tp, abs. recall of pattern: 287; pattern: ('PROX_near2', 'POS_VBZ', "_OSYNSET('EASY.A.03')"); pattern type: l1
len(selected_patterns):24; curr precision: 0.9906; curr recall: 0.062; curr f1: 0.1167; curr tp: 6769; curr fp: 64; curr fn: 102382; curr tn: 1563114; precision of pattern: 1.0; tp, abs. recall of pattern: 283; pattern: ('DEP_xcomp', "SYNSET('BECOME.V.01')", '_OWORD'); pattern type: l1
len(selected_patterns):25; curr precision: 0.989; curr recall: 0.0627; curr f1: 0.118; curr tp: 6849; curr fp: 76; curr fn: 102302; curr tn: 1563102; precision of pattern: 1.0; tp, abs. recall of pattern: 280; pattern: ('PROX_near2', "_OSYNSET('GOOD.A.03')", 'POS_.'); pattern type: l1
len(selected_patterns):26; curr precision: 0.989; curr recall: 0.0628; curr f1: 0.118; curr tp: 6850; curr fp: 76; curr fn: 102301; curr tn: 1563102; precision of pattern: 1.0; tp, abs. recall of pattern: 279; pattern: ('PROX_near2', "_OSYNSET('EASY.A.03')", "SYNSET('EXPLOIT.V.01')"); pattern type: l1
len(selected_patterns):27; curr precision: 0.9891; curr recall: 0.063; curr f1: 0.1184; curr tp: 6875; curr fp: 76; curr fn: 102276; curr tn: 1563102; precision of pattern: 1.0; tp, abs. recall of pattern: 273; pattern: ('PROX_near2', 'POS_VBZ', "_OSYNSET('GOOD.A.03')"); pattern type: l1
len(selected_patterns):28; curr precision: 0.9888; curr recall: 0.0655; curr f1: 0.1228; curr tp: 7145; curr fp: 81; curr fn: 102006; curr tn: 1563097; precision of pattern: 1.0; tp, abs. recall of pattern: 270; pattern: ('DEP_nsubj', "_OSYNSET('GOOD.A.01')", 'POS_NN'); pattern type: l1
len(selected_patterns):29; curr precision: 0.9888; curr recall: 0.0655; curr f1: 0.1229; curr tp: 7151; curr fp: 81; curr fn: 102000; curr tn: 1563097; precision of pattern: 1.0; tp, abs. recall of pattern: 266; pattern: ('PROX_near1', 'POS_CC', "_OSYNSET('EASY.A.03')"); pattern type: l1
len(selected_patterns):30; curr precision: 0.989; curr recall: 0.0678; curr f1: 0.1269; curr tp: 7401; curr fp: 82; curr fn: 101750; curr tn: 1563096; precision of pattern: 1.0; tp, abs. recall of pattern: 262; pattern: ('DEP_xcomp', "SYNSET('CAPTURE.V.02')", '_OPOS_J'); pattern type: l1
len(selected_patterns):31; curr precision: 0.9893; curr recall: 0.0698; curr f1: 0.1304; curr tp: 7616; curr fp: 82; curr fn: 101535; curr tn: 1563096; precision of pattern: 1.0; tp, abs. recall of pattern: 259; pattern: ('SRL_argm-mnr', 'WORD', "_OSYNSET('FINE.A.05')"); pattern type: l1
len(selected_patterns):32; curr precision: 0.9886; curr recall: 0.0708; curr f1: 0.1321; curr tp: 7725; curr fp: 89; curr fn: 101426; curr tn: 1563089; precision of pattern: 1.0; tp, abs. recall of pattern: 257; pattern: ('PROX_near2', "_OSYNSET('NICE.A.01')", 'POS_NN'); pattern type: l1
len(selected_patterns):33; curr precision: 0.9886; curr recall: 0.0709; curr f1: 0.1323; curr tp: 7741; curr fp: 89; curr fn: 101410; curr tn: 1563089; precision of pattern: 1.0; tp, abs. recall of pattern: 253; pattern: ('PROX_near2', 'POS_NN', "_OSYNSET('NICE.A.01')"); pattern type: l1
len(selected_patterns):34; curr precision: 0.9882; curr recall: 0.073; curr f1: 0.1359; curr tp: 7964; curr fp: 95; curr fn: 101187; curr tn: 1563083; precision of pattern: 1.0; tp, abs. recall of pattern: 247; pattern: ('PROX_near1', "_OSYNSET('FAST.A.03')", 'POS_CC'); pattern type: l1
len(selected_patterns):35; curr precision: 0.9879; curr recall: 0.0739; curr f1: 0.1374; curr tp: 8062; curr fp: 99; curr fn: 101089; curr tn: 1563079; precision of pattern: 1.0; tp, abs. recall of pattern: 240; pattern: ('PROX_near2', "_OSYNSET('FAST.A.03')", 'POS_JJ'); pattern type: l1
len(selected_patterns):36; curr precision: 0.9878; curr recall: 0.0739; curr f1: 0.1375; curr tp: 8068; curr fp: 100; curr fn: 101083; curr tn: 1563078; precision of pattern: 1.0; tp, abs. recall of pattern: 237; pattern: ('DEP_advcl', "_OSYNSET('EASY.A.03')", 'WORD'); pattern type: l1
len(selected_patterns):37; curr precision: 0.9878; curr recall: 0.0741; curr f1: 0.1378; curr tp: 8083; curr fp: 100; curr fn: 101068; curr tn: 1563078; precision of pattern: 1.0; tp, abs. recall of pattern: 237; pattern: ('PROX_near1', "_OSYNSET('FAST.A.03')", 'POS_NN'); pattern type: l1
len(selected_patterns):38; curr precision: 0.9879; curr recall: 0.0762; curr f1: 0.1415; curr tp: 8318; curr fp: 102; curr fn: 100833; curr tn: 1563076; precision of pattern: 1.0; tp, abs. recall of pattern: 235; pattern: ('SRL_none', 'WORD', "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):39; curr precision: 0.9873; curr recall: 0.0783; curr f1: 0.1452; curr tp: 8551; curr fp: 110; curr fn: 100600; curr tn: 1563068; precision of pattern: 1.0; tp, abs. recall of pattern: 233; pattern: ('SRL_argm-mnr', 'WORD', "_OSYNSET('FAST.A.02')"); pattern type: l1
len(selected_patterns):40; curr precision: 0.9874; curr recall: 0.0804; curr f1: 0.1488; curr tp: 8780; curr fp: 112; curr fn: 100371; curr tn: 1563066; precision of pattern: 1.0; tp, abs. recall of pattern: 229; pattern: ('DEP_root', 'WORD', "_OSYNSET('BETTER.A.02')"); pattern type: l1
len(selected_patterns):41; curr precision: 0.9874; curr recall: 0.0805; curr f1: 0.1489; curr tp: 8786; curr fp: 112; curr fn: 100365; curr tn: 1563066; precision of pattern: 1.0; tp, abs. recall of pattern: 227; pattern: ('DEP_punct', "_OSYNSET('BETTER.A.02')", 'POS_.'); pattern type: l1
len(selected_patterns):42; curr precision: 0.9874; curr recall: 0.0809; curr f1: 0.1495; curr tp: 8828; curr fp: 113; curr fn: 100323; curr tn: 1563065; precision of pattern: 1.0; tp, abs. recall of pattern: 226; pattern: ('SRL_arg2', "SYNSET('EXIST.V.01')", "_OSYNSET('FAST.A.03')"); pattern type: l1
len(selected_patterns):43; curr precision: 0.9873; curr recall: 0.0809; curr f1: 0.1496; curr tp: 8835; curr fp: 114; curr fn: 100316; curr tn: 1563064; precision of pattern: 1.0; tp, abs. recall of pattern: 226; pattern: ('SRL_arg2', "SYNSET('EXIST.V.01')", "_OSYNSET('GOOD.A.03')"); pattern type: l1
len(selected_patterns):44; curr precision: 0.9872; curr recall: 0.0812; curr f1: 0.15; curr tp: 8860; curr fp: 115; curr fn: 100291; curr tn: 1563063; precision of pattern: 1.0; tp, abs. recall of pattern: 221; pattern: ('SRL_arg1', 'POS_VBZ', "_OSYNSET('NICE.A.01')"); pattern type: l1
len(selected_patterns):45; curr precision: 0.9872; curr recall: 0.0812; curr f1: 0.1501; curr tp: 8865; curr fp: 115; curr fn: 100286; curr tn: 1563063; precision of pattern: 1.0; tp, abs. recall of pattern: 220; pattern: ('DEP_conj', "_OSYNSET('EASY.A.03')", 'WORD'); pattern type: l1
len(selected_patterns):46; curr precision: 0.9871; curr recall: 0.0832; curr f1: 0.1534; curr tp: 9077; curr fp: 119; curr fn: 100074; curr tn: 1563059; precision of pattern: 1.0; tp, abs. recall of pattern: 219; pattern: ('SRL_arg2', 'WORD', "_OSYNSET('FINE.A.05')"); pattern type: l1
len(selected_patterns):47; curr precision: 0.9871; curr recall: 0.0834; curr f1: 0.1538; curr tp: 9102; curr fp: 119; curr fn: 100049; curr tn: 1563059; precision of pattern: 1.0; tp, abs. recall of pattern: 214; pattern: ('PROX_near1', "_OSYNSET('FINE.A.05')", 'POS_.'); pattern type: l1
len(selected_patterns):48; curr precision: 0.9869; curr recall: 0.0838; curr f1: 0.1544; curr tp: 9144; curr fp: 121; curr fn: 100007; curr tn: 1563057; precision of pattern: 1.0; tp, abs. recall of pattern: 213; pattern: ('PROX_near2', 'POS_VBZ', "_OSYNSET('FAST.A.03')"); pattern type: l1
len(selected_patterns):49; curr precision: 0.987; curr recall: 0.0848; curr f1: 0.1561; curr tp: 9252; curr fp: 122; curr fn: 99899; curr tn: 1563056; precision of pattern: 1.0; tp, abs. recall of pattern: 212; pattern: ('DEP_cop', "_OSYNSET('BETTER.A.02')", 'POS_VBZ'); pattern type: l1
len(selected_patterns):50; curr precision: 0.9868; curr recall: 0.0851; curr f1: 0.1568; curr tp: 9293; curr fp: 124; curr fn: 99858; curr tn: 1563054; precision of pattern: 1.0; tp, abs. recall of pattern: 206; pattern: ('PROX_near1', 'POS_VBZ', "_OSYNSET('FAST.A.03')"); pattern type: l1
len(selected_patterns):51; curr precision: 0.9867; curr recall: 0.0859; curr f1: 0.158; curr tp: 9374; curr fp: 126; curr fn: 99777; curr tn: 1563052; precision of pattern: 1.0; tp, abs. recall of pattern: 206; pattern: ('PROX_near2', "_OSYNSET('GOOD.A.03')", 'POS_NN'); pattern type: l1
len(selected_patterns):52; curr precision: 0.9867; curr recall: 0.0861; curr f1: 0.1584; curr tp: 9398; curr fp: 127; curr fn: 99753; curr tn: 1563051; precision of pattern: 1.0; tp, abs. recall of pattern: 202; pattern: ('PROX_near1', "_OSYNSET('NICE.A.01')", 'POS_CC'); pattern type: l1
len(selected_patterns):53; curr precision: 0.9868; curr recall: 0.0879; curr f1: 0.1614; curr tp: 9596; curr fp: 128; curr fn: 99555; curr tn: 1563050; precision of pattern: 1.0; tp, abs. recall of pattern: 201; pattern: ('SRL_argm-mnr', 'WORD', "_OSYNSET('BETTER.A.02')"); pattern type: l1
len(selected_patterns):54; curr precision: 0.9856; curr recall: 0.0893; curr f1: 0.1638; curr tp: 9747; curr fp: 142; curr fn: 99404; curr tn: 1563036; precision of pattern: 1.0; tp, abs. recall of pattern: 200; pattern: ('DEP_conj', 'WORD', "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):55; curr precision: 0.9856; curr recall: 0.0893; curr f1: 0.1638; curr tp: 9748; curr fp: 142; curr fn: 99403; curr tn: 1563036; precision of pattern: 1.0; tp, abs. recall of pattern: 191; pattern: ('PROX_near1', "SYNSET('VERY.R.01')", "_OSYNSET('GOOD.A.03')"); pattern type: l1
len(selected_patterns):56; curr precision: 0.9857; curr recall: 0.0895; curr f1: 0.164; curr tp: 9765; curr fp: 142; curr fn: 99386; curr tn: 1563036; precision of pattern: 1.0; tp, abs. recall of pattern: 189; pattern: ('PROX_near1', "_OSYNSET('NICE.A.01')", 'POS_.'); pattern type: l1
len(selected_patterns):57; curr precision: 0.9856; curr recall: 0.0898; curr f1: 0.1646; curr tp: 9800; curr fp: 143; curr fn: 99351; curr tn: 1563035; precision of pattern: 1.0; tp, abs. recall of pattern: 188; pattern: ('SRL_arg1', 'WORD', "_OSYNSET('FAST.A.03')"); pattern type: l1
len(selected_patterns):58; curr precision: 0.9856; curr recall: 0.0898; curr f1: 0.1646; curr tp: 9804; curr fp: 143; curr fn: 99347; curr tn: 1563035; precision of pattern: 1.0; tp, abs. recall of pattern: 188; pattern: ('DEP_conj', "_OSYNSET('NICE.A.01')", 'POS_JJ'); pattern type: l1
len(selected_patterns):59; curr precision: 0.9854; curr recall: 0.0899; curr f1: 0.1648; curr tp: 9814; curr fp: 145; curr fn: 99337; curr tn: 1563033; precision of pattern: 1.0; tp, abs. recall of pattern: 187; pattern: ('DEP_cc', "_OSYNSET('GOOD.A.01')", 'WORD'); pattern type: l1
len(selected_patterns):60; curr precision: 0.9854; curr recall: 0.0899; curr f1: 0.1649; curr tp: 9818; curr fp: 145; curr fn: 99333; curr tn: 1563033; precision of pattern: 1.0; tp, abs. recall of pattern: 186; pattern: ('DEP_nsubj', "_OSYNSET('FINE.A.05')", 'WORD'); pattern type: l1
len(selected_patterns):61; curr precision: 0.9855; curr recall: 0.0908; curr f1: 0.1662; curr tp: 9906; curr fp: 146; curr fn: 99245; curr tn: 1563032; precision of pattern: 1.0; tp, abs. recall of pattern: 180; pattern: ('DEP_xcomp', 'WORD', "_OSYNSET('GOOD.A.03')"); pattern type: l1
len(selected_patterns):62; curr precision: 0.9854; curr recall: 0.0922; curr f1: 0.1686; curr tp: 10060; curr fp: 149; curr fn: 99091; curr tn: 1563029; precision of pattern: 1.0; tp, abs. recall of pattern: 179; pattern: ('PROX_near2', "SYNSET('TYPIFY.V.02')", "_OSYNSET('GOOD.A.01')"); pattern type: l1
len(selected_patterns):63; curr precision: 0.9853; curr recall: 0.0923; curr f1: 0.1687; curr tp: 10072; curr fp: 150; curr fn: 99079; curr tn: 1563028; precision of pattern: 1.0; tp, abs. recall of pattern: 178; pattern: ('PROX_near2', "_OSYNSET('NICE.A.01')", 'POS_IN'); pattern type: l1
len(selected_patterns):64; curr precision: 0.9852; curr recall: 0.0924; curr f1: 0.1689; curr tp: 10084; curr fp: 151; curr fn: 99067; curr tn: 1563027; precision of pattern: 1.0; tp, abs. recall of pattern: 175; pattern: ('PROX_near2', "_OSYNSET('NICE.A.01')", 'POS_JJ'); pattern type: l1
len(selected_patterns):65; curr precision: 0.9853; curr recall: 0.0925; curr f1: 0.1691; curr tp: 10093; curr fp: 151; curr fn: 99058; curr tn: 1563027; precision of pattern: 1.0; tp, abs. recall of pattern: 172; pattern: ('DEP_advmod', 'WORD', "_OSYNSET('FINE.A.05')"); pattern type: l1
len(selected_patterns):66; curr precision: 0.9853; curr recall: 0.0925; curr f1: 0.1691; curr tp: 10098; curr fp: 151; curr fn: 99053; curr tn: 1563027; precision of pattern: 1.0; tp, abs. recall of pattern: 170; pattern: ('PROX_near2', "_OSYNSET('NICE.A.01')", 'POS_.'); pattern type: l1
len(selected_patterns):67; curr precision: 0.9853; curr recall: 0.0928; curr f1: 0.1697; curr tp: 10133; curr fp: 151; curr fn: 99018; curr tn: 1563027; precision of pattern: 1.0; tp, abs. recall of pattern: 168; pattern: ('DEP_nsubj', "_OSYNSET('BETTER.A.02')", 'POS_NN'); pattern type: l1
len(selected_patterns):68; curr precision: 0.9852; curr recall: 0.0933; curr f1: 0.1704; curr tp: 10182; curr fp: 153; curr fn: 98969; curr tn: 1563025; precision of pattern: 1.0; tp, abs. recall of pattern: 167; pattern: ('PROX_near1', "_OSYNSET('BETTER.A.02')", 'POS_.'); pattern type: l1
len(selected_patterns):69; curr precision: 0.9851; curr recall: 0.0933; curr f1: 0.1705; curr tp: 10187; curr fp: 154; curr fn: 98964; curr tn: 1563024; precision of pattern: 1.0; tp, abs. recall of pattern: 166; pattern: ('PROX_near2', 'POS_PRP', "_OSYNSET('EASY.A.03')"); pattern type: l1
len(selected_patterns):70; curr precision: 0.9851; curr recall: 0.0934; curr f1: 0.1706; curr tp: 10194; curr fp: 154; curr fn: 98957; curr tn: 1563024; precision of pattern: 1.0; tp, abs. recall of pattern: 161; pattern: ('SRL_arg2', "SYNSET('EXIST.V.01')", "_OSYNSET('NICE.A.01')"); pattern type: l1
len(selected_patterns):71; curr precision: 0.9851; curr recall: 0.0934; curr f1: 0.1707; curr tp: 10200; curr fp: 154; curr fn: 98951; curr tn: 1563024; precision of pattern: 1.0; tp, abs. recall of pattern: 160; pattern: ('PROX_near1', "_OSYNSET('NICE.A.01')", 'POS_,'); pattern type: l1
len(selected_patterns):72; curr precision: 0.9851; curr recall: 0.0936; curr f1: 0.171; curr tp: 10220; curr fp: 155; curr fn: 98931; curr tn: 1563023; precision of pattern: 1.0; tp, abs. recall of pattern: 157; pattern: ('PROX_near1', "_OSYNSET('NICE.A.01')", 'POS_IN'); pattern type: l1
len(selected_patterns):73; curr precision: 0.9851; curr recall: 0.0939; curr f1: 0.1715; curr tp: 10249; curr fp: 155; curr fn: 98902; curr tn: 1563023; precision of pattern: 1.0; tp, abs. recall of pattern: 155; pattern: ('PROX_near1', 'POS_VBZ', "_OSYNSET('BETTER.A.02')"); pattern type: l1
len(selected_patterns):74; curr precision: 0.9851; curr recall: 0.0942; curr f1: 0.1719; curr tp: 10277; curr fp: 155; curr fn: 98874; curr tn: 1563023; precision of pattern: 1.0; tp, abs. recall of pattern: 154; pattern: ('DEP_conj', 'POS_JJ', "_OSYNSET('FAST.A.03')"); pattern type: l1
len(selected_patterns):75; curr precision: 0.9851; curr recall: 0.0942; curr f1: 0.172; curr tp: 10282; curr fp: 155; curr fn: 98869; curr tn: 1563023; precision of pattern: 1.0; tp, abs. recall of pattern: 154; pattern: ('DEP_punct', "_OSYNSET('FINE.A.05')", 'WORD'); pattern type: l1
len(selected_patterns):76; curr precision: 0.9852; curr recall: 0.0942; curr f1: 0.172; curr tp: 10284; curr fp: 155; curr fn: 98867; curr tn: 1563023; precision of pattern: 1.0; tp, abs. recall of pattern: 153; pattern: ('DEP_advmod', "_OSYNSET('FINE.A.05')", 'WORD'); pattern type: l1
len(selected_patterns):77; curr precision: 0.9847; curr recall: 0.0945; curr f1: 0.1725; curr tp: 10316; curr fp: 160; curr fn: 98835; curr tn: 1563018; precision of pattern: 1.0; tp, abs. recall of pattern: 151; pattern: ('DEP_advmod', 'WORD', "_OSYNSET('FAST.A.02')"); pattern type: l1
len(selected_patterns):78; curr precision: 0.9846; curr recall: 0.0945; curr f1: 0.1725; curr tp: 10319; curr fp: 161; curr fn: 98832; curr tn: 1563017; precision of pattern: 1.0; tp, abs. recall of pattern: 147; pattern: ('PROX_near2', 'POS_JJ', "_OSYNSET('FAST.A.03')"); pattern type: l1
len(selected_patterns):79; curr precision: 0.9847; curr recall: 0.0949; curr f1: 0.1731; curr tp: 10359; curr fp: 161; curr fn: 98792; curr tn: 1563017; precision of pattern: 1.0; tp, abs. recall of pattern: 147; pattern: ('PROX_near2', 'POS_VBZ', "_OSYNSET('BETTER.A.02')"); pattern type: l1
len(selected_patterns):80; curr precision: 0.9846; curr recall: 0.095; curr f1: 0.1733; curr tp: 10369; curr fp: 162; curr fn: 98782; curr tn: 1563016; precision of pattern: 1.0; tp, abs. recall of pattern: 144; pattern: ('PROX_near2', 'POS_NN', "_OSYNSET('FAST.A.03')"); pattern type: l1
len(selected_patterns):81; curr precision: 0.9846; curr recall: 0.095; curr f1: 0.1734; curr tp: 10374; curr fp: 162; curr fn: 98777; curr tn: 1563016; precision of pattern: 1.0; tp, abs. recall of pattern: 141; pattern: ('PROX_near2', "_OSYNSET('NICE.A.01')", 'POS_CC'); pattern type: l1
len(selected_patterns):82; curr precision: 0.9845; curr recall: 0.0951; curr f1: 0.1734; curr tp: 10380; curr fp: 163; curr fn: 98771; curr tn: 1563015; precision of pattern: 1.0; tp, abs. recall of pattern: 139; pattern: ('DEP_conj', 'WORD', "_OSYNSET('GOOD.A.03')"); pattern type: l1
len(selected_patterns):83; curr precision: 0.9842; curr recall: 0.0961; curr f1: 0.1751; curr tp: 10492; curr fp: 168; curr fn: 98659; curr tn: 1563010; precision of pattern: 1.0; tp, abs. recall of pattern: 136; pattern: ('DEP_obl', "_OSYNSET('FAST.A.02')", 'POS_NN'); pattern type: l1
len(selected_patterns):84; curr precision: 0.9842; curr recall: 0.0961; curr f1: 0.1752; curr tp: 10493; curr fp: 168; curr fn: 98658; curr tn: 1563010; precision of pattern: 1.0; tp, abs. recall of pattern: 136; pattern: ('PROX_near1', "SYNSET('EQUAL.V.01')", "_OSYNSET('EASY.A.03')"); pattern type: l1
len(selected_patterns):85; curr precision: 0.9842; curr recall: 0.0962; curr f1: 0.1752; curr tp: 10496; curr fp: 168; curr fn: 98655; curr tn: 1563010; precision of pattern: 1.0; tp, abs. recall of pattern: 135; pattern: ('DEP_obl', "_OSYNSET('GOOD.A.03')", 'WORD'); pattern type: l1
len(selected_patterns):86; curr precision: 0.9842; curr recall: 0.0972; curr f1: 0.1769; curr tp: 10607; curr fp: 170; curr fn: 98544; curr tn: 1563008; precision of pattern: 1.0; tp, abs. recall of pattern: 131; pattern: ('PROX_near2', "SYNSET('BE.V.01')", "_OSYNSET('FAST.A.02')"); pattern type: l1
len(selected_patterns):87; curr precision: 0.9842; curr recall: 0.0972; curr f1: 0.177; curr tp: 10614; curr fp: 170; curr fn: 98537; curr tn: 1563008; precision of pattern: 1.0; tp, abs. recall of pattern: 130; pattern: ('PROX_near1', 'POS_,', "_OSYNSET('FAST.A.03')"); pattern type: l1
len(selected_patterns):88; curr precision: 0.984; curr recall: 0.098; curr f1: 0.1783; curr tp: 10698; curr fp: 174; curr fn: 98453; curr tn: 1563004; precision of pattern: 1.0; tp, abs. recall of pattern: 130; pattern: ('DEP_nsubj', "_OSYNSET('GOOD.A.01')", 'POS_PRP'); pattern type: l1
